,0
melodic_rock,7
avant_garde,7
parody,7
cantopop,7
nashville_sound,7
hawaiian_music,7
west_coast_blues,7
bhangra,7
rhythm_&_blues,7
dance_music,7
celtic_music,7
traditional_irish,7
urban_contemporary_gospel,7
deep_house,6
american_folk_music,6
citation_needed,6
musical_theater,6
rapcore,6
afro-cuban_jazz,6
son,6
jazz_pop,6
tribute,6
jewish_music,6
dixieland,6
new_orleans_blues,6
musicals,6
mathcore,6
indie-pop,6
ragga,6
jazz_rap,6
arena_rock,6
smooth_soul,6
afrobeat,6
reggae_rock,6
breakbeat,6
jam,6
traditional,6
progressive_house,6
mumble_rap,6
music,6
nasheed,6
electropunk,6
american_primitive_guitar,6
mandopop,6
pop_rap,6
protest_music,6
oi!,6
post-metal,6
dansband,6
deathcore,6
country_rap,6
tropical,6
film_music,5
stoner_metal,5
alt_rock,5
hardcore,5
soul_rock,5
sunshine_pop,5
spirituals,5
christian_r&b,5
third_wave_ska,5
christian_alternative_rock,5
chamber_folk,5
chicago_soul,5
drill,5
bluegrass_music,5
post_punk,5
:,5
pop_dance,5
western_music,5
french_hip_hop,5
crossover,5
sketch_comedy,5
classical_guitar,5
chicano_rock,5
dansband_music,5
outsider,5
theatre,5
east_coast_blues,5
british_folk_rock,5
brazilian_rock,5
electronicore,5
black_comedy,5
música_popular_brasileira,5
goth_rock,5
showtunes,5
piano_rock,5
symphonic_power_metal,5
bengali,5
british_soul,5
yacht_rock,5
klezmer,5
old_time,4
video_game_music,4
physical_comedy,4
traditional_popular_music,4
musical,4
praise_&_worship,4
post-bop,4
rock_opera,4
blue_comedy,4
minimalism,4
kirtan,4
fingerstyle,4
minneapolis_sound,4
irish,4
gospel_blues,4
new_acoustic,4
jazz_blues,4
ranchera,4
electro-industrial,4
songwriter,4
steampunk,4
tango,4
electroacoustic,4
indie_punk,4
contemporary_folk,4
street_punk,4
club,4
neoclassical,4
ambient_pop,4
raï,4
character_comedy,4
desert_rock,4
zouk,4
rock_en_español,4
yé-yé,4
exotica,4
film,4
new_mexico_music,4
spiritual,4
insult_comedy,4
singer,4
post_hardcore,4
progressive_folk,4
burlesque,4
acoustic_blues,4
contemporary_classical_music,4
crust_punk,4
urban_gospel,4
canadian_blues,4
hindi,4
bachata,4
psychedelic_music,4
big_beat,4
contemporary_music,4
alternative_music,4
alternative_folk,4
new_orleans_r&b,4
hypnagogic_pop,4
modern_classical,4
anarcho-punk,4
stride,4
skiffle,4
grebo,4
brazilian_jazz,4
beat,4
chillwave,4
southern_metal,4
neo-classical_metal,4
latin_freestyle,4
golden_age_hip_hop,4
post-britpop,4
jesus_music,4
world_fusion,4
islamic,4
tulsa_sound,3
neue_deutsche_härte,3
bedroom_pop,3
fingerstyle_guitar,3
guaguancó,3
pop_jazz,3
hard_bop,3
english_folk,3
novelty_songs,3
melodic_metalcore,3
pop-punk,3
contemporary_blues,3
west_coast_jazz,3
standards,3
glitch,3
british_blues,3
ambient_music,3
pop_soul,3
hill_country_blues,3
cowboy,3
musician,3
folk_metal,3
drone_metal,3
hokum,3
midwest_hip_hop,3
free_funk,3
norteño,3
death-doom,3
crooner,3
gulf_and_western,3
juke_joint_blues,3
progressive_death_metal,3
acoustic_music,3
krautrock,3
talking_blues,3
house_music,3
experimental_metal,3
jazz_music,3
hip–hop,3
mainstream_jazz,3
acid_house,3
deathgrind,3
truck-driving_country,3
jazz-rock,3
r_&_b,3
mor,3
progressive_pop,3
new_prog,3
english_folk_music,3
chill-out,3
old-school_hip_hop,3
roots_reggae,3
punk_jazz,3
symphonic_black_metal,3
folk-punk,3
surreal_humor,3
opm,3
dirty_rap,3
electronic_dance,3
new_weird_america,3
contemporary_jazz,3
deep_soul,3
neotraditionalist_country,3
independent,3
singer_songwriter,3
native_american,3
quiet_storm,3
traditional_black_gospel,3
post-industrial,3
hillbilly,3
post_rock,3
brazilian,3
latin_soul,3
ballad,3
battle_rap,3
spanish_guitar,3
hardcore_rap,3
middle_eastern_music,3
pop_opera,3
americana_music,3
world_beat,3
pop-folk,3
show_tune,3
meditation,3
popera,3
beat_music,3
independent_music,3
alt._country,3
2-tone,3
post_bop,3
merengue,3
afrobeats,3
contemporary_gospel,3
sadcore,3
urban_folk,2
rumba,2
wagnerian_rock,2
tribute_music,2
afropop,2
jazz-fusion,2
traditional_music,2
patriotic,2
contemporary_jewish_religious_music,2
2-step_garage,2
chamber,2
eurodisco,2
pop-soul,2
choro,2
punjabi,2
light_rock,2
electroacoustic_music,2
worship_music,2
christian_electronic_dance_music,2
acoustic_pop,2
electro_swing,2
scrumpy_and_western,2
new_blues,2
conscious_hip_hop,2
soca,2
roots_revival,2
death_n_roll,2
variety,2
improvised_music,2
french,2
college_rock,2
australian_rock,2
filin,2
folk_jazz,2
synth_pop,2
dark_pop,2
classic_pop,2
neo-swing,2
vocal_music,2
cringe_comedy,2
avant-garde_rock,2
glo-fi,2
atonal,2
light_opera,2
electro_hop,2
new_orleans,2
latin_trap,2
vocalist,2
vocal_trance,2
caribbean_music,2
tropical_house,2
dirty_blues,2
snap,2
electronic_experimental,2
sephardic,2
vispop,2
nueva_trova,2
canción,2
american_roots_music,2
folk_baroque,2
rhythm_&_grime,2
orchestral_pop,2
romantic_music,2
torch_song,2
christian_rap,2
ballads,2
avant-funk,2
improvisational_comedy,2
goregrind,2
laïko,2
country_gospel,2
corrido,2
son_montuno,2
eurobeat,2
tropicália,2
ska-punk,2
psych_pop,2
kuduro,2
latin_ballad,2
pbr&b,2
jewish_rock,2
industrial_music,2
alt.country,2
medieval_music,2
acid_folk,2
symphonic,2
african_american_music,2
glam,2
technical_metal,2
murga,2
2-step,2
swing_revival,2
christian_&_gospel,2
progressive_country,2
brill_building,2
guitarist,2
canadian_hip_hop,2
synthwave,2
brown-eyed_soul,2
afro,2
modern_rock,2
trad_jazz,2
goth,2
paisley_underground,2
new_orleans_jazz,2
trop_rock,2
electro_rock,2
bhajan,2
russian_chanson,2
electro-acoustic,2
pop_classical,2
psych_rock,2
jungle,2
indian_pop,2
torch_songs,2
chap_hop,2
comedy_music,2
forró,2
indie-rock,2
2_tone,2
boogie_woogie,2
third_stream,2
maritime,2
adult_album_alternative,2
deep_funk,2
creole,2
songster,2
space_music,2
contemporary_worship,2
hamd,2
indie_electronic,2
gothic_folk,2
martial_industrial,2
mexican_cumbia,2
mambo,2
film_scores,2
neo-progressive_rock,2
rave,2
modal_jazz,2
spanish,2
improvisation,2
british_hip_hop,2
performance_art,2
blue_eyed_soul,2
european_art_music,2
southern_gothic,2
instrumental_music,2
emo_rap,2
cajun_music,2
barbershop,2
contemporary_folk_music,2
geek_rock,2
ethno_jazz,2
st._louis_blues,2
country_comedy,2
euro_disco,2
madchester,2
go-go,2
neotraditional,2
chopper,2
industrial_hip_hop,2
uk_funky,2
popular_song,2
romantic,2
midwest_emo,2
middle_eastern,2
urban_pop,2
bambuco,2
mod_revival,2
anarcho_punk,2
neue_deutsche_welle,2
