label,frequency,female,male,female%,male%,max_list_length,min_list_length,mean_list_length
bakersfield_sound,8,0.0,8.0,0.0,1.0,9.0,2.0,4.875
nashville_sound,8,7.0,1.0,0.875,0.125,5.0,2.0,3.0
contemporary_folk,8,5.0,3.0,0.625,0.375,6.0,1.0,3.625
blue_comedy,8,2.0,6.0,0.25,0.75,8.0,3.0,5.375
lounge,8,4.0,4.0,0.5,0.5,73.0,2.0,12.75
progressive_bluegrass,8,0.0,8.0,0.0,1.0,8.0,1.0,3.875
regional_mexican,8,1.0,7.0,0.125,0.875,5.0,1.0,2.375
show_tunes,8,3.0,5.0,0.375,0.625,6.0,2.0,2.875
red_dirt,8,0.0,8.0,0.0,1.0,7.0,1.0,3.375
dark_ambient,8,0.0,8.0,0.0,1.0,15.0,3.0,6.375
american_primitive_guitar,8,0.0,8.0,0.0,1.0,6.0,2.0,3.75
parody,8,3.0,5.0,0.375,0.625,6.0,2.0,3.75
reggae_rock,8,1.0,7.0,0.125,0.875,10.0,4.0,6.875
math_rock,8,0.0,8.0,0.0,1.0,7.0,2.0,4.0
mathcore,8,0.0,8.0,0.0,1.0,7.0,2.0,5.375
afrobeat,8,3.0,5.0,0.375,0.625,45.0,2.0,9.75
country_and_western,8,1.0,7.0,0.125,0.875,6.0,1.0,3.75
west_coast_blues,7,0.0,7.0,0.0,1.0,6.0,2.0,3.5714285714285716
deathrock,7,2.0,5.0,0.2857142857142857,0.7142857142857143,11.0,4.0,6.285714285714286
minneapolis_sound,7,5.0,2.0,0.7142857142857143,0.2857142857142857,11.0,6.0,7.0
surf,7,0.0,7.0,0.0,1.0,12.0,3.0,5.714285714285714
jazz_pop,7,3.0,4.0,0.42857142857142855,0.5714285714285714,7.0,2.0,3.5714285714285716
memphis_blues,7,1.0,6.0,0.14285714285714285,0.8571428571428571,6.0,1.0,2.4285714285714284
mandopop,7,1.0,6.0,0.14285714285714285,0.8571428571428571,5.0,1.0,3.0
show_tuness,7,3.0,4.0,0.42857142857142855,0.5714285714285714,8.0,2.0,5.285714285714286
swamp_blues,7,1.0,6.0,0.14285714285714285,0.8571428571428571,7.0,1.0,3.142857142857143
celtic_punk,7,0.0,7.0,0.0,1.0,6.0,2.0,4.142857142857143
ballads,7,3.0,4.0,0.42857142857142855,0.5714285714285714,5.0,2.0,3.5714285714285716
country_rap,7,0.0,7.0,0.0,1.0,7.0,1.0,3.2857142857142856
northern_soul,7,5.0,2.0,0.7142857142857143,0.2857142857142857,5.0,2.0,3.142857142857143
