,0
chicago_soul,6
torch,6
spiritual,6
acoustic_blues,6
british_blues,6
arena_rock,6
jam_band,6
neoclassical,6
skiffle,6
afro_cuban_jazz,6
cowpunk,6
no_wave,6
son,6
nasheed,6
theater,6
piano_rock,6
jewish,5
oi!,5
rapcore,5
neo_progressive_rock,5
electro_industrial,5
surreal_humiddle_of_the_road,5
southern_metal,5
club,5
christian_r_and_b,5
crossover,5
hypnagogic_pop,5
tropical,5
brazilian_jazz,5
stoner_metal,5
hard_bop,5
drill,5
chicano_rock,5
pop_soul,5
old_school_hip_hop,5
soul_rock,5
cantopop,5
post_metal,5
christian_country,5
jazz_rap,5
orchestral,5
sunshine_pop,5
french_hip_hop,5
british_soul,5
jazz_blues,5
breakbeat,5
symphonic_black_metal,5
pop_dance,5
tango,5
folk_metal,5
classical_guitar,5
smooth_soul,5
character_comedy,5
new_acoustic,5
yé_yé,5
rock_en_español,5
bachata,5
music_hall,5
bengali,5
music,5
canadian_blues,5
zydeco,5
third_wave_ska,5
brazilian,4
australian_rock,4
alternative_folk,4
traditional_popular,4
neue_deutsche_härte,4
dark_pop,4
mafioso_rap,4
space,4
zouk,4
samba_rock,4
soca,4
hardcore_rap,4
euro_disco,4
exotica,4
post_britpop,4
hardcore,4
raï,4
minimalism,4
battle_rap,4
rock_opera,4
new_mexico,4
traditional_black_gospel,4
burlesque,4
crooner,4
big_beat,4
chillout,4
música_popular_brasileira,4
death_doom,4
kirtan,4
jesus,4
east_coast_blues,4
chillwave,4
norteño,4
quiet_storm,4
folk_baroque,4
sea_shanties,4
islamic,4
progressive_folk,4
electronicore,4
hill_country_blues,4
hindi,4
middle_eastern,4
merengue,4
chamber_folk,4
improvised,4
christian_alternative_rock,4
songwriter,4
roots_reggae,4
gulf_and_western,4
christian_edm,3
latin_freestyle,3
pop_opera,3
improvisational_comedy,3
british_hip_hop,3
grebo,3
indie_punk,3
go_go,3
french,3
guajira,3
womens,3
stride,3
paisley_underground,3
punk_rap,3
glitch,3
electro_rock,3
truck_driving_country,3
political_satire,3
yacht_rock,3
dirty_rap,3
video_game,3
uk_funky,3
french_rock,3
mod_revival,3
desert_rock,3
light_rock,3
eurodisco,3
bedroom_pop,3
folk_jazz,3
west_coast_jazz,3
tulsa_sound,3
modern_classical,3
college_rock,3
middle_of_the_road,3
caribbean,3
street_punk,3
praise_and_worship,3
juke_joint_blues,3
technical_metal,3
motown,3
physical_comedy,3
free_funk,3
country_comedy,3
deep_soul,3
symphonic_power_metal,3
light_opera,3
goth_rock,3
mainstream_jazz,3
pop_jazz,3
jewish_rock,3
melodic_metalcore,3
musician,3
romantic,3
breton,3
progressive_pop,3
canadian_hip_hop,3
new_weird_america,3
french_variety,3
golden_age_hip_hop,3
musique_concrete,3
diy,3
ambient_pop,3
steampunk,3
c_pop,3
traditional_jazz,3
american,3
progressive_death_metal,3
industrial_hip_hop,3
bambuco,3
hokum,3
drone_metal,3
chamber,3
spanish,3
cowboy,3
ranchera,3
contemporary_blues,3
christmas,3
medieval,3
emo_rap,3
vispop,2
kuduro,2
new_rave,2
canción,2
popular_song,2
underground_rock,2
musical_pop,2
twee_pop,2
geek_rock,2
new_prog,2
snap,2
symphonic,2
comedy_pop,2
latin_american,2
synth_punk,2
country_punk,2
west_coast_rap,2
british_rock_and_roll,2
minimal_wave,2
urban_folk,2
filin,2
opm,2
reggae_pop,2
jug_band,2
hamd,2
progressive_country,2
yiddish,2
asian_fusion,2
indigenous,2
modal_jazz,2
sleaze_rock,2
forró,2
new_orleans_r_and_b,2
tropicália,2
goth,2
african_american,2
merseybeat,2
french_house,2
electro_swing,2
ethno_jazz,2
post_industrial,2
yodeling,2
loop,2
bounce,2
australian_country,2
rhythm__and__grime,2
son_montuno,2
brown_eyed_soul,2
spanish_guitar,2
laïko,2
nueva_canción,2
talking_blues,2
protest_song,2
digital_hardcore,2
swing_revival,2
variety,2
nueva_trova,2
conscious_rap,2
celtic_metal,2
canterbury_sound,2
indian_pop,2
latin_soul,2
vocalist,2
slapstick,2
chamber_jazz,2
trop_rock,2
barbershop,2
alternative_music,2
bhajan,2
maritime,2
new_orleans_blues,2
conscious_hip_hop,2
christian_ac,2
bubblegum,2
rock_jazz,2
acid_house,2
contemporary_jewish_religious,2
hillbilly,2
contemporary_jazz,2
comedy_rap,2
standards,2
urban_pop,2
afro_pop,2
chopper,2
sadcore,2
guaguancó,2
greek,2
rumba,2
fingerstyle,2
neotraditional,2
contemporary_gospel,2
orchestral_jazz,2
post_progressive,2
new_orleans,2
2_step_garage,2
hymns,2
european_art,2
neo_swing,2
midwest_hip_hop,2
various,2
new_blues,2
2_step,2
madchester,2
atonal,2
funktronica,2
concert,2
meditation,2
russian_chanson,2
album_alternative,2
classic_pop,2
fingerstyle_guitar,2
synthwave,2
tropicalismo,2
freestyle_rap,2
country_soul,2
pacific_northwest_hip_hop,2
death_n_roll,2
rave,2
neue_deutsche_welle,2
roots_revival,2
rock_soul,2
sephardic,2
dirty_blues,2
vocal_trance,2
impressions,2
urban_gospel,2
pop_classical,2
poetry,2
indie_electronic,2
drone_doom,2
avant_funk,2
alternative_jazz,2
chopped_and_screwed,2
glo_fi,2
third_stream,2
contemporary_pop,2
folk_alternative,2
jewish_hip_hop,2
electro_hop,2
ebm,2
northwest_hip_hop,2
brill_building,2
country_gospel,2
punk_jazz,2
mambo,2
television_score,2
tech_house,2
performance_art,2
cuban_rumba,2
holiday,2
expressionism,2
bollywood,2
anison,2
corrido,2
post_dubstep,2
guitarist,2
electronic_dance,2
cringe_comedy,2
punjabi,2
orchestral_pop,2
korean_hip_hop,2
patriotic,2
tropical_house,2
new_orleans_jazz,2
african,2
krautrock,2
irish,2
native_american,2
ac,2
popera,2
murga,2
vallenato,2
christian_rap,2
