,0
european_free_jazz,1
classical_pop,1
ghost_rock,1
andalusian,1
hasidic,1
reggae_cultural_influence,1
canterbury_sound,1
organ_trio,1
christian_hip-hop,1
tv,1
synthpunk,1
proto_punk,1
lo-fi_music,1
trad_irish,1
crooning,1
vocal_surf,1
blues_soul_r&b_gospel_funk_folk,1
east_coast_rap,1
glam_noir,1
comedy_acting,1
livetronica,1
aaa,1
french_popular_music,1
santería_music,1
variety_theatre,1
pop_noir,1
concert_music,1
urban_adult_contemporary,1
multilingual,1
trance-blues_r&b,1
art_metal,1
boleros,1
drone_rock,1
art-pop,1
latin_american_music,1
cuban_trova,1
proto-rockabilly,1
open_folk,1
louisiana_folk,1
punk_music,1
expressionist,1
protest_song,1
indi_pop,1
cedm,1
liturgy,1
minimal_wave,1
powerviolence,1
hop,1
sociopolitical,1
conscious_rap,1
newgrass,1
folk_art_rock,1
haole,1
old_time_american,1
male,1
sami,1
dance_rock,1
mashup,1
contemporary_catholic_liturgical,1
soundcloud_rap,1
rock_classical,1
punkrock,1
neo-classical_jazz,1
oom-pah,1
composer,1
latin_hip_hop,1
rock_in_opposition,1
groove_rock,1
britfunk,1
avant-prog,1
rock_standards,1
whiskey,1
torch_singer,1
various_styles,1
psych_blues,1
rock_against_communism,1
space_age_pop,1
television_score,1
jazz_brazilian,1
progressive_music,1
theme_song,1
quebec_folk,1
melodic_metal,1
pop-rock-electro,1
political_hip-hop,1
dirty_gospel,1
pop_alternative,1
revival,1
joik,1
jimi_hendrix_tribute,1
classic_country,1
pacific_northwest_hip_hop,1
memphis_soul,1
australian_country_music,1
baião,1
irish_rock,1
musica_popular_brasileira,1
country-soul,1
caribbean,1
hip,1
ethno_rock,1
swing_noir,1
sacred_steel,1
māori_show_band,1
avant_pop,1
electro_funk,1
baroque,1
alternate_acoustic,1
hip-pop,1
italian_folk,1
ghettotech,1
contemporary_country,1
experimental_acoustic,1
guabina,1
baltimore_club,1
traditional_folk_music,1
irish_soul,1
roots_pop,1
noisecore,1
recording_engineer,1
tapping,1
mainstream,1
tech_house,1
ska_jazz,1
poprock,1
asian_fusion_music,1
bounce_music,1
retro,1
pop_country,1
palingsound,1
future_bass,1
classical_hindi,1
j-synth,1
industrial_dance,1
hymns,1
and_classical_music,1
vọng_cổ,1
social_change_music,1
heavy_rock,1
vocal_quartet,1
various,1
sufi_music,1
throat_singing,1
rock_ballad,1
contemporary_art_music,1
latin_american,1
classical_and_folk,1
traditional_songs,1
marching_band,1
nightcore,1
christmas_music,1
eclectic,1
singer–songwriter,1
indian_classical,1
country_soul,1
surf_music,1
salsa_romántica,1
childrens_songs,1
monster_rock,1
techno-pop,1
future_soul,1
merseybeat,1
anti-genre,1
cinematic|pop|trailer_music,1
electric,1
milonga,1
pop_folk,1
black_american_music,1
krispy_kreme,1
italian,1
hardrock,1
mandarin_pop,1
womens_music,1
acapella,1
honky_tonk_music,1
latin_alternative,1
avant,1
electro-punk,1
persian_pop_music,1
afro-son,1
spaghetti_country,1
soul_pop,1
irish_traditional_music,1
sitcom,1
future_house,1
bossa_nova_samba,1
blackgaze,1
theatre_performer,1
broadway_theatre,1
television,1
northwest_hip_hop,1
pop_rock_dance,1
hardstyle,1
synthrock,1
progressive_jazz,1
m-base,1
funk_music,1
frat_rock,1
record_producer,1
traditional_bluegrass,1
rock&roll_revival,1
music_of_hawaii,1
progressive_pub,1
canadian,1
novelty_music,1
rave-hop,1
with,1
coupé-décalé,1
karate_rock,1
mellow_&_acoustic_rock,1
free_music,1
latin-jazz_pop,1
traditional_jewish_music,1
cowboy_music,1
hard_core,1
reggae_pop,1
yass,1
visual_kei,1
riot-folk,1
north_mississippi_hill_country_blues,1
electro-pop_dance-rock,1
hymnal,1
adult_alternative_pop,1
nuevo_flamenco,1
black_rock,1
pop-rock_singer,1
anthem_trance,1
ameritopia,1
documentary,1
microtonal_music,1
turntablism,1
r’n’b,1
folk-jazz,1
country&western_music,1
second_line,1
pop_gospel,1
show_tunes_jazz,1
neo_souls,1
old_time_radio,1
bengali_music,1
celtic_folk,1
female_vocalists,1
balladeer,1
aboriginal_country,1
grupero,1
hawaiian_falsetto,1
black_music,1
blues_punk,1
showtunes_adult_contemporary,1
funeral_doom_metal,1
canadiana_celtic,1
lounge_music,1
soundtracks,1
big_room_house,1
cool,1
swing_music,1
folk-blues,1
disco_house,1
brega,1
vaudeville_foxtrot,1
english,1
elektro,1
sea_shanty,1
rockney,1
c86,1
teatro_canzone,1
hauntology,1
american_pop,1
jewish_punk,1
country_punk,1
fingerstyle_and_classical_guitar,1
gypsy,1
gregorian_chant,1
blackened_death_metal,1
synth,1
the_motown_sound,1
casiocore,1
mexican_pop,1
uk_hip_hop,1
opera_&_musical_theatre,1
electronic_r&b,1
atlanta_hip_hop,1
video,1
freakbeat,1
-ninja-core,1
old_school_rap,1
boogaloo,1
avantgarde,1
classical_guitar_music,1
sufi_rock,1
and_melodic,1
yéyé,1
jug_band,1
haitian_folk,1
improvised,1
drinking_songs,1
mantra,1
new_age_instrumental_music,1
acousmatic_music,1
avant-garde_rap,1
orgasmic_r&b,1
post_disco,1
inuit,1
dub_music,1
folk_rock_folk_pop,1
funktronica,1
digital_hardcore,1
french_music,1
classic,1
powerpop,1
chinese_classical,1
social_commentary,1
alternative_jazz,1
jazz_gospel,1
sympho_rock,1
instrumental_synth,1
folkloric,1
french_pop_music,1
hong_kong_english_pop,1
american,1
jazz_classical,1
industrial_black_metal,1
great_american_songbook,1
pop_dance_rock_jazz,1
sports_music,1
the_great_american_songbook,1
puerto_rican_folk_music,1
d-beat,1
slow_jams,1
asian_underground,1
vaudeville_blues,1
adult_contemporary_music,1
gothic_country,1
white_power_rock,1
