,artist,gender,retrieved,genre
22728,Allen Collins,male,https://en.wikipedia.org/wiki/Allen_Collins,Southern rock
22729,Carol Parks,female,none,none
22730,Priscilla Wright,female,none,none
22731,Jesse Leach,male,https://en.wikipedia.org/wiki/Jesse_Leach,"Metalcore, Heavy metal music, Groove metal, Hard rock, Southern rock, Hardcore punk"
22732,Dino Verde,male,none,none
22733,Sussie Eriksson,female,none,none
22734,Martina McBride,female,https://en.wikipedia.org/wiki/Martina_McBride,"Country music, Country pop"
22735,Vinnie Mele,male,https://en.wikipedia.org/wiki/Vinnie_Mele,"Blues, Country music"
22736,Anuj,male,https://en.wikipedia.org/wiki/Anuj_(singer),Pop music
22737,Anne Preven,female,https://en.wikipedia.org/wiki/Anne_Preven,Alternative rock
22738,"Paul ""Wine"" Jones",male,"https://en.wikipedia.org/wiki/Paul_""Wine""_Jones","Electric blues, Delta blues, Contemporary blues"
22739,Federico Casagrande,male,none,none
22740,Chuck Brodsky,male,https://en.wikipedia.org/wiki/Chuck_Brodsky,"Folk music, Singer-songwriter, Americana (music)"
22741,Darren Boyd,male,none,none
22742,John Newman,male,https://en.wikipedia.org/wiki/John_Newman_(musician),"Soul music, Pop music, Breakbeat, Northern soul"
22743,Hugh Pool,male,https://en.wikipedia.org/wiki/Hugh_Pool,"Americana (music), Roots rock, Folk music, Blues, Country music"
22744,Mila Mason,female,https://en.wikipedia.org/wiki/Mila_Mason,Country music
22745,Harry Nilsson,male,https://en.wikipedia.org/wiki/Harry_Nilsson,"Rock music, Pop music"
22746,Melissa Manchester,female,https://en.wikipedia.org/wiki/Melissa_Manchester,"Pop music, Adult contemporary"
22747,Robert Westerholt,male,https://en.wikipedia.org/wiki/Robert_Westerholt,"Symphonic metal, Symphonic rock"
22748,Brenda Reid,female,none,none
22749,C-Bo,male,https://en.wikipedia.org/wiki/C-Bo,Hardcore hip hop
22750,Sarah Silverman,female,https://en.wikipedia.org/wiki/Sarah_Silverman,"Ribaldry, Black comedy, Political satire, Insult comedy, Comedy music, Character comedy"
22751,Dâm-Funk,male,https://en.wikipedia.org/wiki/Dâm-Funk,"Funk, Boogie (genre), Funktronica, R&amp;B, G-funk, Synth-pop"
22752,Mary Martin,female,none,none
22753,Jeff Chance,male,https://en.wikipedia.org/wiki/Jeff_Chance,Country music
22754,Alan Gerber,male,https://en.wikipedia.org/wiki/Alan_Gerber,"Blues, Folk music, Jazz"
22755,Matthew Schuler,male,https://en.wikipedia.org/wiki/Matthew_Schuler,"Indie rock, Alternative rock"
22756,Emelie Irewald,female,none,none
22757,David L. Cook,male,https://en.wikipedia.org/wiki/David_L._Cook,"Gospel music, Contemporary Christian music"
22758,"Johnny ""Guitar"" Watson",male,"https://en.wikipedia.org/wiki/Johnny_""Guitar""_Watson","Blues, Soul music, Funk"
22759,Francesco Buzzurro,male,https://en.wikipedia.org/wiki/Francesco_Buzzurro,Bossa nova
22760,Jeff DaRosa,male,https://en.wikipedia.org/wiki/Jeff_DaRosa,"Indie rock, Reggae, Post-punk, Celtic punk, Punk rock, Folk rock"
22761,Holland Davis,male,none,none
22762,Sa'ra Charismata,female,https://en.wikipedia.org/wiki/Sa'ra_Charismata,
22763,David Freeman,male,https://en.wikipedia.org/wiki/David_Freeman_(musician),"New wave music, Punk rock"
22764,Gary Glitter,male,https://en.wikipedia.org/wiki/Gary_Glitter,"Glam rock, Rock and roll, Pop rock, Hard rock, Disco"
22765,"Enrique González ""La Pulga""",male,"https://en.wikipedia.org/wiki/Enrique_González_""La_Pulga""","Trova, Bolero, Canción, Guaracha, Guajira (music)"
22766,Perla Batalla,female,none,none
22767,Steve Turner,male,none,none
22768,Werly Fairburn,male,none,none
22769,Robert Lucas,male,https://en.wikipedia.org/wiki/Robert_Lucas_(musician),Blues music
22770,Rosie Flores,female,https://en.wikipedia.org/wiki/Rosie_Flores,"Ameripolitan, Country music, Rockabilly, Honky-tonk, Western swing"
22771,Vaughn Monroe,male,https://en.wikipedia.org/wiki/Vaughn_Monroe,"Big band, Traditional pop music"
22772,Camilla Kerslake,female,https://en.wikipedia.org/wiki/Camilla_Kerslake,"Crossover (music), Operatic pop"
22773,Yoon Mi-rae,female,https://en.wikipedia.org/wiki/Yoon_Mi-rae,"Korean hip hop, Contemporary R&amp;B"
22774,Hamilton Loomis,male,https://en.wikipedia.org/wiki/Hamilton_Loomis,"Electric blues, Blues rock, Soul blues"
22775,Stanley Myers,male,https://en.wikipedia.org/wiki/Stanley_Myers,Film score
22776,Holly Valance,female,https://en.wikipedia.org/wiki/Holly_Valance,"Pop music, Dance-pop"
22777,Lyrica Anderson,female,https://en.wikipedia.org/wiki/Lyrica_Anderson,"Contemporary R&amp;B, Soul music, Pop music, Hip hop"
22778,Sunny Sweeney,female,https://en.wikipedia.org/wiki/Sunny_Sweeney,Country music
22779,Ken Munshaw,male,https://en.wikipedia.org/wiki/Ken_Munshaw,Country music
22780,Stacy Clark,female,https://en.wikipedia.org/wiki/Stacy_Clark,"Pop music, Folk music, Acoustic music"
22781,Brett Somers,female,none,none
22782,Ray Norris,male,none,none
22783,George Barnes,male,https://en.wikipedia.org/wiki/George_Barnes_(musician),"Jazz music, Blues, Swing music, Pop music, Rock music, R&amp;B"
22784,Paul Dempsey,male,https://en.wikipedia.org/wiki/Paul_Dempsey,"Alternative rock, Australian rock, Folk music"
22785,Varre Vartiainen,male,none,none
22786,June MacCloy,female,none,none
22787,James Madison,male,none,none
22788,Herbie Flowers,male,none,none
22789,Arto Lindsay,male,https://en.wikipedia.org/wiki/Arto_Lindsay,"No wave, Noise music, Avant-garde jazz, Música popular brasileira"
22790,Jane Eaglen,female,none,none
22791,Liv Maessen,female,https://en.wikipedia.org/wiki/Liv_Maessen,Country music
22792,Jack Natz,male,https://en.wikipedia.org/wiki/Jack_Natz,"Noise rock, Industrial rock, Post-punk"
22793,Michael Chapman,male,https://en.wikipedia.org/wiki/Michael_Chapman_(singer),"Folk music, Jazz"
22794,Dan Lilker,male,https://en.wikipedia.org/wiki/Dan_Lilker,"Extreme metal, Hardcore punk, Thrash metal, Grindcore, Death metal"
22795,Johnny Rivers,male,https://en.wikipedia.org/wiki/Johnny_Rivers,"Rock and roll, Garage rock, Rockabilly, Blue-eyed soul"
22796,Anne Rogers,female,none,none
22797,Jeff Cook,male,https://en.wikipedia.org/wiki/Jeff_Cook,"Country music, Country rock"
22798,Arlie Neaville,male,https://en.wikipedia.org/wiki/Arlie_Neaville,"Gospel music, Rockabilly, Garage rock, Soul music"
22799,Michelle Dockery,female,none,none
22800,Manuelcha Prado,male,https://en.wikipedia.org/wiki/Manuelcha_Prado,"Folk music, Andean music"
22801,Caroline Redman Lusher,female,https://en.wikipedia.org/wiki/Caroline_Redman_Lusher,"Pop rock, Gospel music, Motown music"
22802,Anaïs Croze,female,none,none
22803,Niki Evans,female,none,none
22804,Luther Johnson,male,none,none
22805,Zane Williams,male,https://en.wikipedia.org/wiki/Zane_Williams,Country music
22806,Robin Davey,male,https://en.wikipedia.org/wiki/Robin_Davey,"Electric blues, Blues-rock"
22807,Keeley Davis,male,https://en.wikipedia.org/wiki/Keeley_Davis,"Alternative rock, Indie rock, Post-hardcore, Emo, Math rock, Electronic music, Ambient music"
22808,Marie-Élaine Thibert,female,https://en.wikipedia.org/wiki/Marie-Élaine_Thibert,"Light rock, Adult contemporary music, Pop music"
22809,Maureen Moore,female,none,none
22810,Andy Gurley,male,none,none
22811,Alex Glasgow,male,none,none
22812,Tyler Carter,male,https://en.wikipedia.org/wiki/Tyler_Carter,"Contemporary R&amp;B, Electro-pop, Soul music, Pop music, Post-hardcore, Metalcore, Nu metal, Rap rock"
22813,John Martin,male,https://en.wikipedia.org/wiki/John_Martin_(singer),"House music, Progressive house, Indie pop"
22814,Robert Lee Castleman,male,none,none
22815,Clarence Edwards,male,none,none
22816,Michael Paynter,male,https://en.wikipedia.org/wiki/Michael_Paynter,Pop rock
22817,Kevin McDermott,male,none,none
22818,Thomas L. Thomas,male,none,none
22819,Jesse Thomas,male,none,none
22820,Peter Stroud,male,https://en.wikipedia.org/wiki/Peter_Stroud,"Pop rock, Alternative rock, Roots rock, Folk rock, Country rock, Rockabilly, Blues"
22821,Lauren Alaina,female,https://en.wikipedia.org/wiki/Lauren_Alaina,"Country music, Country pop"
22822,Tim Kinsella,male,https://en.wikipedia.org/wiki/Tim_Kinsella,Midwest emo
22823,Major Harris,male,https://en.wikipedia.org/wiki/Major_Harris_(musician),Rhythm and blues
22824,Mish Kerley,female,none,none
22825,J-Diggs,male,https://en.wikipedia.org/wiki/J-Diggs,"Hip hop music, West coast hip hop, Hyphy"
22826,Karen Lovely,female,https://en.wikipedia.org/wiki/Karen_Lovely,Electric blues
22827,Kristofer Åström,male,none,none
22828,Zarif,female,https://en.wikipedia.org/wiki/Zarif_(singer),"Funk, Soul music, Pop music"
22829,Stacie Orrico,female,https://en.wikipedia.org/wiki/Stacie_Orrico,"Pop music, Contemporary Christian music, Contemporary R&amp;B"
22830,Jennifer Paige,female,https://en.wikipedia.org/wiki/Jennifer_Paige,"Pop music, Pop rock"
22831,Rob Evan,male,none,none
22832,Dean Bernardini,male,https://en.wikipedia.org/wiki/Dean_Bernardini,"Alternative metal, Nu metal, Post-grunge, Hard rock"
22833,Nels Cline,male,https://en.wikipedia.org/wiki/Nels_Cline,"Free jazz, Experimental music, Noise (music), Punk rock, Indie rock"
22834,Al Matthews,male,none,none
22835,Jimi Shields,male,none,none
22836,Jerry Knight,male,https://en.wikipedia.org/wiki/Jerry_Knight,R&amp;B
22837,Keyshia Cole,female,https://en.wikipedia.org/wiki/Keyshia_Cole,"Contemporary R&amp;B, Hip hop music, Hip hop soul, Soul music"
22838,Brian Littrell,male,https://en.wikipedia.org/wiki/Brian_Littrell,"Pop music, Contemporary R&amp;B, Contemporary Christian music"
22839,Rose Windross,female,none,none
22840,Bill Barth,male,https://en.wikipedia.org/wiki/Bill_Barth,"Folk rock, Folk music, Blues, Rock music, Psychedelic rock"
22841,Eric Carlson,male,https://en.wikipedia.org/wiki/Eric_Carlson_(musician),"Shock rock, Heavy metal music, Punk rock"
22842,Ashley Palmer,female,none,none
22843,Tom Lehrer,male,https://en.wikipedia.org/wiki/Tom_Lehrer,
22844,Norah Jones,female,https://en.wikipedia.org/wiki/Norah_Jones,"Pop music, Jazz, Folk music, Country music"
22845,Towe Jaarnek,female,https://en.wikipedia.org/wiki/Towe_Jaarnek,Schlager
22846,Edgel Groves,male,none,none
22847,Harry Chapin,male,https://en.wikipedia.org/wiki/Harry_Chapin,"Folk music, Folk rock, Pop rock"
22848,Wendy Woo,female,https://en.wikipedia.org/wiki/Wendy_Woo,
22849,Frankie Miller,male,https://en.wikipedia.org/wiki/Frankie_Miller,"Rock music, Hard rock, Folk rock, Blues rock, Blue-eyed soul"
22850,Hazel Kaneswaran,female,https://en.wikipedia.org/wiki/Hazel_Kaneswaran,"Soul music, R&amp;B"
22851,Linda Creed,female,https://en.wikipedia.org/wiki/Linda_Creed,"R&amp;B, Soul music"
