,artist,retrieved,gender,genre
76,Ayumi Hamasaki,Ayumi Hamasaki,female,"['eurobeat', 'j-idol', 'j-pop', 'japanese r&b']"
77,Smitten,Smitten May,female,[]
78,Samantha Fish,Samantha Fish,female,"['kc indie', 'modern blues', 'modern blues rock']"
79,The Fiery Furnaces,The Fiery Furnaces,female,"['brooklyn indie', 'e6fi', 'noise pop']"
80,Rough Trade,Rough Traders,female,[]
81,Sarah Nixey,Sarah Nixey,female,[]
82,The Go! Team,The Go! Team,female,"['alternative dance', 'brighton indie', 'dance-punk', 'indie pop', 'new rave']"
83,Tatiana DeMaria,Tatiana DeMaria,female,[]
84,Deap Vally,Deap Vally,female,['garage rock']
85,Koko Taylor,Koko Taylor,female,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'traditional blues']"
86,Crystal Bowersox,Crystal Bowersox,female,['idol']
87,Moon Shadow,Moonlight Shadow Universe,female,[]
88,Etty Lau Farrell,none,none,none
89,Clare Grogan,Clare Grogan,female,['scottish new wave']
90,Yeah Yeah Yeahs,Yeah Yeah Yeahs,female,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'rock']"
91,Theo Kogan,none,none,none
92,Nina Hagen,Nina Hagen,female,['german punk']
93,Wolf Alice,Wolf Alice,female,"['art pop', 'english indie rock', 'garage rock', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']"
94,The Slits,The Slits,female,"['alternative rock', 'dance rock', 'dance-punk', 'experimental', 'experimental rock', 'no wave', 'post-punk', 'punk', 'riot grrrl', 'uk post-punk']"
95,Legal Weapon,Legal Weapon,female,['deep hardcore punk']
96,Christina Amphlett,Christina Amphlett,female,[]
97,Daisy Dares You,Daisy Dares You,female,[]
98,Babble,Babbletron,female,['abstract hip hop']
99,Betty Blowtorch,Betty Blowtorch,female,['riot grrrl']
100,Lisa Hannigan,Lisa Hannigan,female,"['chamber pop', 'irish singer-songwriter']"
101,Kat Bjelland,none,none,none
102,Daisy Chainsaw,Daisy Chainsaw,female,['riot grrrl']
103,Republica,Republica,female,"['candy pop', 'new wave pop']"
104,Ana da Silva,Ana Da Silva,female,[]
105,Marla Sokoloff,Marla Sokoloff,female,[]
