,artist,retrieved,gender,genre
105,Isis,ISIS,female,"['alternative metal', 'atmospheric post-metal', 'atmospheric sludge', 'drone metal', 'mathcore', 'post-doom metal', 'post-metal', 'post-rock', 'sludge metal', 'stoner metal']"
106,ChatmonchyCherri Bomb,none,none,none
107,Coyote Sisters,The Coyote Sisters,female,[]
108,Exist Trace,exist†trace,female,"['idol rock', 'j-metal', 'oshare kei', 'visual kei']"
109,Madam X,Madam X,female,"['glam metal', 'sleaze rock']"
110,Bella Tromba,none,none,none
111,Indigo Girls,Indigo Girls,female,"['folk', 'lilith', 'pop rock']"
112,The Priscillas,The Priscillas,female,[]
113,Rachel Rachel,Evan Rachel Wood,female,['hollywood']
114,Splendora,none,none,none
115,The Third Sex,The Third Sex,female,"['queercore', 'riot grrrl']"
116,Nice Horse,Nice Horse,female,['alberta country']
117,Ajaqa,none,none,none
118,Boye,Boye & Sigvardt,female,"['danish electronic', 'pop edm']"
119,The Spazzys,none,none,none
120,Go-Bang's,"Gorillapits Bang,Bang,Gang",female,[]
121,Audrey,Audrey Mika,female,['pop']
122,Cypher in the Snow,none,none,none
123,Skinned Teen,Skinned Teen,female,['riot grrrl']
124,Wild Flag,WILD FLAG,female,['riot grrrl']
125,Scrawl,Scrawl,female,"['alternative pop', 'columbus ohio indie', 'gbvfi', 'riot grrrl']"
126,Birtha,none,none,none
127,Partyline,Partyline,female,['riot grrrl']
128,Androids of Mu,none,none,none
129,Girl Monstar,none,none,none
130,She Devils,She-Devils,female,['quebec indie']
131,Princess Princess,King Princess,female,"['dance pop', 'electropop', 'indie pop', 'nyc pop', 'pop']"
132,LiLiPUT,Liliput,female,['no wave']
133,Screamin' Sirens,Screaming Sirens,female,[]
134,Cub,Ice Cube,female,"['conscious hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']"
135,Sleater-Kinney,Sleater-Kinney,female,"['alternative pop', 'alternative rock', 'anti-folk', 'art pop', 'indie pop', 'indie punk', 'indie rock', 'lilith', 'noise pop', 'olympia wa indie', 'riot grrrl']"
136,Skating Polly,Skating Polly,female,"['indie punk', 'ok indie', 'okc indie', 'riot grrrl']"
137,Vulpes,Tommy Vulpes,female,[]
138,Cobra Killer,"Spragga Benz, Bounty Killer, Madd Cobra & Assassin",female,[]
139,Emily's Sassy Lime,Emily's Sassy Lime,female,['riot grrrl']
140,Fifth Column,Fifth Column,female,"['queercore', 'riot grrrl']"
141,Everlife,Everlife,female,"['candy pop', 'post-teen pop']"
142,Adickdid,Adickdid,female,['riot grrrl']
143,The Pandoras,The Pandoras,female,[]
144,The Pierces,The Pierces,female,['candy pop']
145,The Runaways,The Runaways,female,"['early us punk', 'protopunk']"
146,Go Betty Go,Go Betty Go,female,"['chicano punk', 'power-pop punk']"
147,Salem 66,none,none,none
148,Katzenjammer,Katzenjammer,female,['oslo indie']
149,Conquer DivideCowboy Crush,none,none,none
150,Smoosh,Smoosh,female,[]
151,Two Nice Girls,Two Nice Girls,female,[]
152,PINS,Pinstripe Sunny,female,"['bedroom pop', 'pittsburgh indie']"
153,Jale,Jalen Santoy,female,"['nc hip hop', 'underground hip hop']"
154,The Slits,The Slits,female,"['alternative rock', 'dance rock', 'dance-punk', 'experimental', 'experimental rock', 'no wave', 'post-punk', 'punk', 'riot grrrl', 'uk post-punk']"
155,Babes in Toyland,Babes In Toyland ,female,"['grunge', 'minneapolis punk', 'riot grrrl']"
156,Uh Huh Her,Uh Huh Her,female,"['indietronica', 'la indie', 'metropopolis']"
157,Tattle Tale,The Tattle Tales,female,"['deep power-pop punk', 'power-pop punk']"
158,Marine Girls,Marine Girls,female,"['c86', 'twee pop']"
159,Cibo Matto,Cibo Matto,female,"['shibuya-kei', 'trip hop']"
160,Spice Girls,Spice Girls,female,"['dance pop', 'europop', 'girl group', 'pop']"
161,Frightwig,Frightwig,female,['riot grrrl']
162,7 Year Bitch,7 Year Bitch,female,"['grunge', 'riot grrrl']"
163,The Belle Stars,The Belle Stars,female,['new wave pop']
164,Cherry BoomThe Capricorns,none,none,none
165,The Raincoats,The Raincoats,female,"['alternative rock', 'art punk', 'art rock', 'dance rock', 'dance-punk', 'experimental', 'experimental rock', 'lo-fi', 'no wave', 'post-punk', 'riot grrrl', 'twee pop', 'uk post-punk']"
166,The Micragirls,The Micragirls,female,[]
167,Von Iva,Von Iva,female,[]
168,Scarlet,Scarlett Johansson,female,['nyc pop']
169,Honeyblood,Honeyblood,female,"['chamber psych', 'scottish indie']"
170,Bellatrix,Bellatrix,female,[]
171,Free Kitten,Free Kitten,female,"['no wave', 'riot grrrl']"
172,The Devotchkas,The Devotchkas,female,"['oi', 'street punk']"
173,Octavia Sperati,Octavia Sperati,female,"['gothic metal', 'gothic symphonic metal', 'norwegian doom metal', 'norwegian metal', 'symphonic metal']"
174,21st Century Girls,21st Century Girls,female,[]
175,Cimorelli,Cimorelli,female,"['post-teen pop', 'social media pop', 'viral pop']"
176,Tijuana Sweetheart,Tijuana Sweetheart,female,[]
177,Gore Gore Girls,Gore Gore Girls,female,"['garage rock', 'punk blues']"
178,The Murmurs,The Murmurs,female,"['alternative pop', 'lilith']"
179,Kitten Forever,Kitten Forever,female,"['minneapolis indie', 'minneapolis punk', 'riot grrrl']"
180,Lunachicks,Lunachicks,female,['riot grrrl']
181,OOIOO,OOIOO,female,"['experimental', 'experimental pop', 'experimental rock', 'freak folk', 'japanese post-rock', 'japanese psychedelic rock', 'no wave', 'noise rock']"
182,The Organ,The Fantasyland Band Organ,female,[]
183,Dum Dum Girls,Dum Dum Girls,female,"['la indie', 'noise pop', 'nu gaze']"
184,Urban Symphony,Urban Symphony,female,"['estonian pop', 'eurovision']"
185,The Bangles,The Bangles,female,"['album rock', 'dance rock', 'europop', 'jangle pop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'pop rock', 'rock', 'soft rock']"
186,Upset,The Upsetters,female,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']"
