,artist,gender,retrieved,genre
1685,Lauren Alaina,female,https://en.wikipedia.org/wiki/Lauren_Alaina,"['Country music', 'Country pop']"
1686,Brett Anderson,female,https://en.wikipedia.org/wiki/Brett_Anderson,"['Alternative rock', 'Indie rock', 'Glam rock', 'Art rock', 'Britpop']"
1687,Annie Clark,female,https://en.wikipedia.org/wiki/Annie_Clark_(musician),"['Rock music', 'Pop music', 'Art rock', 'Indie rock']"
1688,Audrey,female,https://en.wikipedia.org/wiki/Audrey_(band),"['Post-rock', 'Experimental rock', 'Instrumental rock']"
1689,Daniele Alexander,female,https://en.wikipedia.org/wiki/Daniele_Alexander,['Country music']
1690,Wendy James,female,https://en.wikipedia.org/wiki/Wendy_James,"['Pop punk', 'Alternative rock']"
1691,Deborah Harry,female,https://en.wikipedia.org/wiki/Deborah_Harry,"['Rock music', 'New wave music', 'Punk rock', 'Disco', 'Pop music']"
1692,Jennette McCurdy,female,https://en.wikipedia.org/wiki/Jennette_McCurdy,"['Country music', 'Country pop']"
1693,Harry Crews,female,https://en.wikipedia.org/wiki/Harry_Crews_(band),"['No wave', 'Hardcore punk', 'Crossover thrash', 'Thrashcore']"
1694,Fleming and John,female,https://en.wikipedia.org/wiki/Fleming_and_John,['Rock music']
1695,Miley Cyrus,female,https://en.wikipedia.org/wiki/Miley_Cyrus,"['Pop music', 'Country pop', 'Hip hop music']"
1696,Jenny Simpson,female,https://en.wikipedia.org/wiki/Jenny_Simpson_(singer),['Country music']
1697,Donna Ulisse,female,https://en.wikipedia.org/wiki/Donna_Ulisse,"['Country music', 'Bluegrass music']"
1698,Sarah Marince,female,none,none
1699,Patti Page,female,https://en.wikipedia.org/wiki/Patti_Page,"['Traditional pop music', 'Country music']"
1700,Nervous Gender,female,https://en.wikipedia.org/wiki/Nervous_Gender,"['Punk rock', 'Electropunk']"
1701,Lisa Coleman,female,https://en.wikipedia.org/wiki/Lisa_Coleman_(musician),"['Rock music', 'Funk', 'Pop music', 'New wave music', 'Minneapolis sound', 'R&amp;B']"
1702,Tamala Poljak,female,none,none
1703,Lorde,female,https://en.wikipedia.org/wiki/Lorde,"['Electropop', 'Dream pop', 'Indie pop', 'Art pop']"
1704,Yeah Yeah Yeahs,female,https://en.wikipedia.org/wiki/Yeah_Yeah_Yeahs,"['Garage punk (fusion genre)', 'Garage rock', 'Indie rock', 'Art punk', 'Dance-punk', 'Post-punk revival']"
1705,Mallary Hope,female,https://en.wikipedia.org/wiki/Mallary_Hope,['Country music']
1706,Donna Douglas,female,none,none
1707,Molly Bee,female,https://en.wikipedia.org/wiki/Molly_Bee,"['Country music', 'Pop music']"
1708,Nomy Lamm,female,https://en.wikipedia.org/wiki/Nomy_Lamm,"['Riot grrrl', 'Punk rock']"
1709,Chantal Kreviazuk,female,https://en.wikipedia.org/wiki/Chantal_Kreviazuk,"['Pop Music', 'Pop rock', 'Adult contemporary']"
1710,Toyah Willcox,female,https://en.wikipedia.org/wiki/Toyah_Willcox,"['Punk rock', 'Rock music', 'New wave music', 'Pop rock']"
1711,Anna Burley,female,none,none
1712,Ashley Monroe,female,https://en.wikipedia.org/wiki/Ashley_Monroe,['Neotraditional country']
1713,Tobi Vail,female,https://en.wikipedia.org/wiki/Tobi_Vail,"['Riot grrrl', 'Grunge', 'Punk rock', 'Indie rock']"
1714,A Fine Frenzy,female,https://en.wikipedia.org/wiki/A_Fine_Frenzy,"['Adult album alternative', 'Indie rock']"
