index,artist,retrieved,genre
288,Edith North Johnson,https://en.wikipedia.org/wiki/Edith_North_Johnson,['Classic female blues']
289,Jessica Delfino,https://en.wikipedia.org/wiki/Jessica_Delfino,"['Folk rock', 'Alternative rock', 'Indie rock', 'Pop rock', 'Comedy']"
290,Benji Webbe,https://en.wikipedia.org/wiki/Benji_Webbe,"['Nu metal', 'Ragga', 'Alternative metal', 'Punk rock', 'Reggae', 'Hardcore punk']"
291,Brian Hodgson,none,none
292,Bobby Fox,https://en.wikipedia.org/wiki/Bobby_Fox,['Musical theatre']
293,Giorgio Moroder,https://en.wikipedia.org/wiki/Giorgio_Moroder,"['Disco', 'Synth-pop', 'Electronic music', 'Rock music', 'New wave music']"
294,Elizabeth Daily,none,none
295,Marty Casey,https://en.wikipedia.org/wiki/Marty_Casey,"['Alternative rock', 'Indie rock', 'Post-grunge', 'Hard rock']"
296,Natalie Brown,https://en.wikipedia.org/wiki/Natalie_Brown_(singer),"['Pop music', 'Blue-eyed soul']"
297,Geraldine McMahon,none,none
298,Christian Argenti,none,none
299,Luther Kent,https://en.wikipedia.org/wiki/Luther_Kent,"['Blues', 'Rhythm and Blues', 'Gospel music']"
300,Richard Iles,none,none
301,Jackie Wilson,https://en.wikipedia.org/wiki/Jackie_Wilson,"['Rhythm and blues', 'Soul music', 'Pop music', 'Rock and roll', 'Doo-wop']"
302,Marek Jackowski,https://en.wikipedia.org/wiki/Marek_Jackowski,[]
303,Loose Logic,https://en.wikipedia.org/wiki/Loose_Logic,"['Rap music', 'Hip hop music']"
304,John Elliott,none,none
305,Kate Markowitz,none,none
306,Henry Roosevelt Pressley,none,none
307,Quanteisha,https://en.wikipedia.org/wiki/Quanteisha,['Hip Hop']
308,Tom Kerstens,none,none
309,Melissa Schuman,https://en.wikipedia.org/wiki/Melissa_Schuman,"['Contemporary R&amp;B', 'Pop music', 'Dance music']"
310,Stuart John Wood,https://en.wikipedia.org/wiki/Stuart_John_Wood,"['Rock music', 'Pop rock', 'Celtic music']"
311,Bill Johnson,none,none
312,Bijou Phillips,none,none
313,Javier Limón,https://en.wikipedia.org/wiki/Javier_Limón,"['Rock music', 'Pop music', 'Flamenco']"
314,Leif Edling,https://en.wikipedia.org/wiki/Leif_Edling,"['Heavy metal music', 'Doom metal']"
315,Rebecca Shoichet,none,none
316,Joe O'Gorman,none,none
317,Jackie McKeown,https://en.wikipedia.org/wiki/Jackie_McKeown,['Indie rock']
318,Justin McBride,none,none
319,Willie Nile,https://en.wikipedia.org/wiki/Willie_Nile,"['Folk rock', 'Alternative rock', 'Rock music']"
320,Luke McMaster,https://en.wikipedia.org/wiki/Luke_McMaster,"['Blue-Eyed Soul', 'R&amp;B', 'Jazz']"
321,Andra Day,https://en.wikipedia.org/wiki/Andra_Day,"['Soul music', 'Contemporary R&amp;B', 'Blues', 'Disco', 'Pop music']"
322,Jamie Pressnall,https://en.wikipedia.org/wiki/Jamie_Pressnall,"['Indie pop', 'Indie rock']"
323,Bootsy Collins,https://en.wikipedia.org/wiki/Bootsy_Collins,"['Funk', 'Soul music', 'Rock music', 'Psychedelic soul', 'Rhythm and blues', 'Hip hop music']"
324,Wayne Sermon,https://en.wikipedia.org/wiki/Wayne_Sermon,"['Alternative rock', 'Indie rock', 'Pop rock', 'Indie pop', 'Electropop']"
325,Dave Cliff,https://en.wikipedia.org/wiki/Dave_Cliff,['Jazz']
326,Jason Derulo,https://en.wikipedia.org/wiki/Jason_Derulo,"['Contemporary R&amp;B', 'Hip hop music', 'Pop music']"
327,Archie Roach,https://en.wikipedia.org/wiki/Archie_Roach,"['Alternative rock', 'World music']"
328,Melissa Sgambelluri,https://en.wikipedia.org/wiki/Melissa_Sgambelluri,"['R&amp;B', 'Blues music', 'Soul music', 'Funk music']"
329,Jeanette Clinger,none,none
330,Alice Verlet,none,none
331,Claudio Sanchez,https://en.wikipedia.org/wiki/Claudio_Sanchez,"['Alternative rock', 'Progressive rock', 'New prog', 'Electronica', 'Alternative metal', 'Post-hardcore']"
332,Jeff Campbell,https://en.wikipedia.org/wiki/Jeff_Campbell_(musician),"['Pop music', 'Rock music']"
333,Simple Kid,https://en.wikipedia.org/wiki/Simple_Kid,"['Alternative music', 'Electronica', 'Folk music', 'Industrial rock']"
334,John McDermott,https://en.wikipedia.org/wiki/John_McDermott_(singer),['Celtic music']
335,Dino Cazares,https://en.wikipedia.org/wiki/Dino_Cazares,"['Heavy metal music', 'Extreme metal']"
336,Blake Jenner,none,none
337,Rachel Barrell,none,none
338,Cyril Cinélu,none,none
339,Kit Hain,https://en.wikipedia.org/wiki/Kit_Hain,['Pop rock']
340,Jackie DeShannon,https://en.wikipedia.org/wiki/Jackie_DeShannon,['Pop music']
341,Haale,https://en.wikipedia.org/wiki/Haale,[]
342,Kristeen Young,https://en.wikipedia.org/wiki/Kristeen_Young,['Alternative rock']
343,James Taylor,https://en.wikipedia.org/wiki/James_Taylor,"['Folk rock', 'Rock music', 'Pop music', 'Soft rock', 'Blues', 'Christmas music', 'Country folk']"
344,Tristan Wilds,none,none
345,MK Nobilette,https://en.wikipedia.org/wiki/MK_Nobilette,['Pop music']
346,Les Taylor,https://en.wikipedia.org/wiki/Les_Taylor_(singer),['Country music']
347,Kenya Bell,https://en.wikipedia.org/wiki/Kenya_Bell,"['Contemporary R&amp;B', 'Soul music', 'Pop music']"
348,Jacques Higelin,https://en.wikipedia.org/wiki/Jacques_Higelin,['Chanson']
349,Julianna Zobrist,https://en.wikipedia.org/wiki/Julianna_Zobrist,"['Contemporary Christian music', 'Christian electronic dance music']"
350,Les DeMerle,none,none
351,George Helm,none,none
352,Max Ochs,none,none
353,Djoir,https://en.wikipedia.org/wiki/Djoir,"['Pop music', 'Electronic Dance Music', 'Rock music']"
354,Nathan Williams,none,none
355,George Britton,none,none
356,Pamela Spence,https://en.wikipedia.org/wiki/Pamela_Spence,"['Pop rock', 'Pop punk', 'Synthpop']"
357,Frank French,https://en.wikipedia.org/wiki/Frank_French,"['Alternative rock', 'Classic rock', 'Punk rock']"
358,Dave Gibson,none,none
359,Alex Greenwald,https://en.wikipedia.org/wiki/Alex_Greenwald,"['Alternative rock', 'Pop rock', 'Pop music', 'Indie rock', 'Rock music', 'Indie pop']"
360,Conor Oberst,https://en.wikipedia.org/wiki/Conor_Oberst,"['Indie rock', 'Folk music', 'Alternative country', 'Emo music', 'Indie folk', 'Americana (music)']"
361,Natalie Cole,https://en.wikipedia.org/wiki/Natalie_Cole,"['Soul music', 'Rhythm and blues', 'Pop music', 'Traditional pop', 'Soft rock']"
362,Paul Jones,https://en.wikipedia.org/wiki/Paul_Jones_(singer),"['Pop music', 'Blues']"
363,Charlie McCoy,https://en.wikipedia.org/wiki/Charlie_McCoy,['Country music']
