Source,Target,Weight
alternative_metal,space_rock,1
dance,alternative,2
r&b,indie_folk,2
arena_rock,jingles,1
r&b,urban,13
texas_country,rock&roll,1
christian_metal,nu_metal,6
industrial_rock,world_beat,1
glitch,industrial_rock,1
screamo,post_hardcore,9
pop,samba,1
reggae,roots,2
space,deep_house,2
grunge,exotica,1
cool_jazz,west_coast_jazz,3
reggae_rock,soca,1
southern_rock,experimental,1
indie_rock,bluegrass,2
hardcore_rap,horrorcore,1
video_game,twee_pop,1
ska,sophisti_pop,1
funk,swamp,1
aor,teen_pop,1
world,rockabilly,1
pop,roots_rock,2
glam_rock,southern_rock,2
soul,alternative_country,7
avant_garde,blues,4
reggae_fusion,pop_rap,1
bluegrass,roots,2
jewish,world,1
latin,urban,3
world_fusion,progressive_rock,2
r&b,samba,2
yé_yé,psychedelic_rock,1
alternative_metal,soundtrack,1
doo_wop,gospel,6
heavy_metal,instrumental_rock,23
rock&roll,blue_eyed_soul,7
avant_garde,alternative_rock,8
indie,dark_cabaret,1
folk,roots_revival,2
post_punk_revival,art_rock,2
hardcore_punk,crossover_thrash,12
east_coast_hip_hop,jazz_rap,2
christian,classical,2
baroque_pop,spoken_word,1
crossover,opera_pop,1
musique_concrete,noise,1
christian_hip_hop,urban_contemporary_gospel,3
world_fusion,world_beat,1
power_metal,industrial_metal,1
dark_ambient,noise,1
pop,show_tunes,5
comedy_rap,pop,1
new_orleans,mardi_gras_indian,1
art_pop,chamber_pop,3
house,uk_garage,1
pop,indie_folk,10
rock,western,2
free_jazz,progressive_jazz,1
rock,neo_progressive_rock,1
surf,exotica,1
metal,ameritopia,1
lo_fi,jingles,1
new_wave,baroque_pop,2
dance,bubblegum_pop,1
pop_folk,acoustic,1
electronic_rock,acapella,1
down_tempo,bubblegum_pop,1
new_wave,pub_rock,6
disco,smooth_jazz,2
avant_garde_metal,dub,1
new_prog,psychedelic_rock,2
post_grunge,disco,1
synth_pop,electronica,25
ska_jazz,stride,1
bedroom_pop,oriented_rock,1
indie_rock,britpop,14
post_grunge,emo,1
blues,soul_jazz,1
electronic_dance,acoustic,1
experimental_rock,pop_blues,1
experimental_rock,indie_pop,6
rap_rock,alternative_hip_hop,10
contemporary_bluegrass,americana,1
garage_rock,folk_rock,8
country,christian_contemporary,1
new_wave,alternative,2
spoken_word,comedy_rock,2
art_rock,britpop,4
country,country_pop,51
progressive_metal,symphonic_metal,12
jazz,afro_cuban,1
hip_hop,latin_pop,4
rock,singer_songwriter,19
oi!,punk_rock,5
blues_rock,pop_punk,2
regional_mexican,canción_ranchera,1
ccm,country,9
tex_mex,classic_pop,1
afrobeat,post_punk_revival,1
schlager,synth_pop,1
arena_rock,glam_metal,2
country,dance_pop,6
alternative_rock,hardrock,1
blue_eyed_soul,americana,2
rock&roll,traditional_pop,8
2_tone,punk_rock,2
comedy,improvisational_comedy,2
satire,hard_rock,2
reggae,dance,9
experimental_hip_hop,emo_rap,1
jam,gospel,2
chinese_rock,cantopop,1
indie_folk,art_rock,1
reggae,indie_rock,2
indie_rock,alternative_pop,1
bossa_nova,organ_trio,1
jazz_fusion,industrial,1
brazilian_rock,acid_rock,1
lo_fi,soundtrack,1
garage_punk,art_rock,2
acoustic_rock,pop_punk,3
jazz_fusion,chamber_pop,1
avant_garde_rock,progressive_metal,1
deathcore,symphonic_metal,2
oriented_rock,teen_pop,1
reggae_fusion,reggae_rock,2
garage_house,house,2
ragtime,boogie,1
dance_punk,dance_pop,2
son,rumba,1
ragtime,delta_blues,1
country,surf,2
soft_rock,twee_pop,1
modern_rock,pop,1
hard_bop,orchestral_jazz,1
europop,christian,1
modern_rock,world,1
christmas,sports,1
noise_rock,grunge,1
experimental_rock,electronic_rock,6
folk_rock,trip_hop,1
no_wave,post_punk,3
breakbeat,northern_soul,1
art_metal,progressive_metal,1
industrial,new_wave,1
blues,jug_band,1
neo_swing,yass,1
rockabilly,acoustic,2
folk,ska,2
rap,soft_rock,1
sophisti_pop,house,2
swamp_pop,rockabilly,1
rock,progressive_folk,1
grunge,indie_pop,2
synth_pop,novelty,1
hard_rock,indie_pop,1
surf_pop,jazz,1
electronic_rock,britpop,1
country,traditional_pop,16
show_tunes,big_band,1
christian,indie_folk,1
jingles,acapella,1
pop,teen_pop,9
reggae,reggae_rock,4
stoner_rock,doom_metal,3
power_pop,grebo,4
trip_hop,electro,1
roots_rock,folk_pop,2
rock,visual_kei,1
down_tempo,indie_pop,1
funk,psychedelic_pop,3
thrash_metal,nu_metal,14
pop_rock,alternative_rock,175
free_funk,blues,1
easy_listening,broadway,1
jazz_rap,lo_fi,1
alternative_country,jazz,3
country,house,1
contemporary,kadans,1
observational,musical_comedy,1
harmony_pop,football_chant,1
indie_rock,jazz,8
ccm,christian_hip_hop,2
harmony_pop,progressive_rock,1
alternative_rock,hardcore_punk,42
heavy_metal,pop,14
drone_doom,post_rock,1
psychedelic_rock,pop_punk,1
gospel,easy_listening,3
experimental_pop,punk_rock,1
dub,punk_rock,3
experimental_hip_hop,grime,1
harmony_pop,spoken_word,1
piano_rock,experimental,2
folk_pop,country,3
celtic_rock,breton,2
jazz,flamenco,9
funk,electro,6
protest,acoustic,1
post_grunge,electronic,2
g_funk,r&b,4
pop_rock,contemporary,22
jangle_pop,folk_rock,5
europop,nightcore,1
country_pop,americana,5
alternative,rap,2
folk,acid_folk,2
indie_rock,chamber_pop,4
christian_hip_hop,soul,1
library,experimental,1
jazz,jazz_blues,2
technical_death_metal,hard_rock,1
film,ambient,1
new_mexico,latin,2
skate_punk,pop_punk,7
art_rock,marching_band,1
indie_rock,electro_punk,1
christmas,bubblegum_pop,1
world,chanson,1
post_rock,shoegaze,1
neue_deutsche_welle,post_punk,1
vocal_group,classical,1
art_rock,world_beat,1
synth_pop,indie,2
jazz,doo_wop,6
nashville_sound,bluegrass,1
pop,punjabi_folk,1
teen_pop,rock,3
world,rock,23
blue_eyed_soul,r&b,33
indie_rock,dance,4
swamp_pop,rock&roll,1
post_bop,ska_jazz,1
experimental,electro_acoustic,6
bluegrass,soft_rock,1
bebop,jazz_rap,1
punk_rock,hard_rock,45
power_metal,melodic_metal,1
r&b,afro_pop,1
blues,traditional_black_gospel,1
neo_soul,jazz_funk,1
folk_rock,easy_listening,2
west_coast_hip_hop,hardcore_hip_hop,1
dance,zouk,1
desert_rock,stoner_rock,3
punk_blues,grunge,1
cape_jazz,afro_cuban_jazz,1
punk_rock,dark_cabaret,2
hip_hop_soul,electronic,1
progressive_metal,eurobeat,1
swing,vocal_jazz,15
hip_hop,latin,7
folk_jazz,west_coast_jazz,1
electronica,tribute,1
jazz,indie,4
alternative_rock,musical,1
rock,alternative_metal,7
sunshine_pop,orchestral_pop,1
dream_pop,new_wave,4
thrash_metal,funk_metal,3
afrobeat,jazz_fusion,1
lo_fi,dream_pop,1
gothic_metal,groove_metal,2
acid_jazz,soul,7
space_rock,art_rock,3
aleatoric,atonal,1
experimental,punk_rock,4
latin_rock,rockabilly,1
latin,brazilian,1
soul,inspirational,2
tejano,ranchera,1
pop,folktronica,1
instrumental_synth,down_tempo,1
reggae,electronic_rock,1
old_time,celtic,1
post_industrial,ambient,1
electric_blues,boogie_rock,3
industrial_hip_hop,ambient,1
screamo,rapcore,1
bolero,son_cubano,7
r&b,psychedelic_rock,10
