artist,genre
Queen Latifah,"conscious hip hop, east coast hip hop, hip hop, hip pop, new jersey rap"
Roxanne Shante,"electro, hip house, old school hip hop, queens hip hop"
MC Lyte,"east coast hip hop, electro, gangster rap, hardcore hip hop, hip hop, hip house, hip pop, new jack swing, old school hip hop, rap"
Yo Yo,"atl hip hop, atl trap, gangster rap, melodic rap, pop rap, rap, trap"
Lauryn Hill,"conscious hip hop, dance pop, hip pop, neo soul, new jersey rap, pop, r&b, soul, urban contemporary"
Foxy Brown,"east coast hip hop, hip hop, hip pop, pop rap, r&b, rap"
Da Brat,"chicago rap, hip hop, hip pop, new jack swing, pop rap, r&b, rap, urban contemporary"
Alicia Keys,"hip pop, neo soul, pop, r&b, urban contemporary"
Jessica Simpson,"dance pop, post-teen pop"
Jennifer Lopez,"dance pop, pop, pop rap, post-teen pop, urban contemporary"
FlufEy,
Eve,"dance pop, hip hop, hip pop, philly rap, pop rap, r&b, rap, urban contemporary"
Poe,indonesian pop
Republica,"candy pop, new wave pop"
Britney Spears,"dance pop, pop, pop rap, post-teen pop"
Sneaker Pimps,"alternative dance, electronica, trip hop"
Nobby,"bounce, new orleans rap"
Three Hour Tour,"jangle pop, modern power pop, underground power pop"
the Donnas,"candy pop, garage rock, glam punk, power-pop punk"
Dolores O'Riordan,"limerick indie, pop rock"
Mystic,"dark trap, emo rap, underground hip hop"
Pink,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
Dido,"dance pop, new wave pop, pop rock"
