,artist_uri,related_uri,cluster
32,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:1hkZbWhhCUMBmEvVkWi2pD,2
33,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:6wQmOG6Yw33ZSDDvdxfvWP,2
34,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:3N4nC51lvimXdPE0M9lEXd,2
35,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:3JamY45rtaJluNZPgdVSkl,2
36,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:6VSXq2yYD3n5MFZ5ahIUDZ,2
37,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:3geRfxPiAcLC93h3EcFOPm,2
38,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:0hJ58qGdS4sQs5MVXQeu50,2
39,spotify:artist:6vfqHxgPuMacvHwNq64Mjg,spotify:artist:08ObxLXzMyHCOExZNp6ngv,2
40,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:0CA8v6MOoW3PshEsom6x8E,2
41,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:6ZCOlOlt0j2f0WWLrBS4qe,2
42,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:4x0WhpIKeyVD0Q7WbbWhrw,2
43,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:1j7PIiimRdwdm6HOyFtVn8,2
44,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:0Lp8qrCCD1CNecQ3A6eyM3,2
45,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:2lgOmRrpzAYN3kXBgLt14u,2
46,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:3S3zMWY7anFCIUSfdptsfY,2
47,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:49XI259iPxxbqTzPfpZtR8,2
48,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:4R3E1B4kOQsec4u9Pvqscu,2
49,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:6c10mh5yK8BUe8BUSFGJo1,2
50,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:7evvp8K9upd3HsOIaS54ao,2
51,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:7IYh2xLPsJb7lVfM4LbsoF,2
52,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:2LpuFiegCKD50XfNvqTW6s,2
53,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:1ubtXErMqrqIhIKYqokGqr,2
54,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:1NpDwdjngrSrLVFGrscRWr,2
55,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:2eXum66SQkN0wqoTiTvkde,2
56,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:43Xbgme9BKet1Ir9AiPerq,2
57,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:3T0qDRHpw9MEWJk28BO0kO,2
58,spotify:artist:6LKu24jU4E3rlV8DTFSI2X,spotify:artist:4VYmmC6jVM3pdxyJZ2GkyH,2
