artist,retrieved,gender,genre
Live Skull,Live Skull,female,"no wave, noise punk, noise rock"
Juice Newton,Juice Newton,female,"classic country pop, country dawn, new wave pop, soft rock"
Berlin,Berliner Philharmoniker,female,"classical, classical performance, orchestra"
Octavia Sperati,Octavia Sperati,female,"gothic metal, gothic symphonic metal, norwegian doom metal, norwegian metal, symphonic metal"
The Bellrays,The BellRays,female,"action rock, garage rock, punk blues"
The Blackhearts,Joan Jett & The Blackhearts,female,"glam punk, rock"
Bratmobile,Bratmobile,female,"indie punk, olympia wa indie, queercore, riot grrrl"
Tracy Bonham,Tracy Bonham,female,"alternative pop, boston rock, lilith, pop rock"
Vanessa Carlton,Vanessa Carlton,female,"dance pop, lilith, neo mellow, piano rock, pop rock, post-teen pop"
Hey Monday,Hey Monday,female,"candy pop, neon pop punk, pixie, pop emo, pop punk"
Pixies,Pixies,female,"alternative rock, art rock, boston rock, garage rock, modern rock, noise pop, permanent wave, rock"
The New Pornographers,The New Pornographers,female,"alternative rock, anti-folk, canadian indie, chamber pop, indie folk, indie pop, indie rock, modern power pop, modern rock, noise pop, stomp and holler, vancouver indie"
Bif Naked,Bif Naked,female,"canadian indie, canadian rock, candy pop, lilith"
Eisley,Eisley,female,"christian rock, dreamo, indie pop, piano rock"
Shocking Blue,Shocking Blue,female,"classic rock, folk rock, nederpop, psychedelic rock"
Tom Tom Club,Tom Tom Club,female,"dance rock, new romantic, new wave, no wave, post-punk"
Blake Babies,Blake Babies,female,"alternative pop, boston rock"
Romeo Void,Romeo Void,female,"dance rock, new romantic, new wave, new wave pop"
Erase Errata,Erase Errata,female,"bay area indie, riot grrrl"
Tattle Tale,The Tattle Tales,female,"deep power-pop punk, power-pop punk"
The Bangles,The Bangles,female,"album rock, dance rock, europop, jangle pop, mellow gold, new romantic, new wave, new wave pop, pop rock, rock, soft rock"
Killing Heidi,Killing Heidi,female,"australian alternative rock, australian pop, australian rock"
Sarah McLachlan,Sarah McLachlan,female,"canadian pop, canadian singer-songwriter, ectofolk, folk, lilith, neo mellow, new wave pop, permanent wave, pop rock"
Juanita Stein,Juanita Stein,female,australian indie rock
Chaka Khan,Chaka Khan,female,"dance pop, disco, funk, motown, neo soul, post-disco, quiet storm, soul, urban contemporary"
ZOEgirl,ZOEgirl,female,"christian alternative rock, christian music"
The Runaways,The Runaways,female,"early us punk, protopunk"
Maria Taylor,Maria Taylor,female,alabama indie
The Postal Service,The Postal Service,female,"indie pop, indie rock, indietronica, modern rock, seattle indie"
Eve's Plum,Eve's Plum,female,alternative pop
Pitty,Pitty,female,"baile pop, brazilian rock, hard rock brasileiro, mpb, rock gaucho"
Emilíana Torrini,Emilíana Torrini,female,"electronica, icelandic indie, icelandic pop, trip hop"
Cassadee Pope,Cassadee Pope,female,"contemporary country, country pop, pop emo, post-teen pop, viral pop"
Juli,Julia Michaels,female,"dance pop, electropop, pop, post-teen pop"
The Gits,The Gits,female,"chicano punk, grunge, oi, riot grrrl"
Emily Jane White,Emily Jane White,female,"chamber pop, freak folk, indie folk"
Throwing Muses,Throwing Muses,female,"alternative pop, alternative rock, boston rock, dream pop, rhode island indie, riot grrrl"
The Letter Black,The Letter Black,female,"christian alternative rock, christian rock, pixie, pop emo"
Elkie Brooks,Elkie Brooks,female,"classic uk pop, new wave pop"
Big Trouble,Big Troubles,female,popgaze
Tone Norum,Tone Norum,female,classic swedish pop
Sharon Corr,Sharon Corr,female,bow pop
In This Moment,In This Moment,female,"alternative metal, melodic metalcore, nu metal, post-grunge"
Juliana Hatfield,Juliana Hatfield,female,"alternative pop, alternative rock, boston rock, jangle pop, lilith, permanent wave, power pop"
Rita Lee,Rita Lee,female,"baile pop, bossa nova, brazilian rock, mpb, nova mpb"
