artist,retrieved,gender,genre
New Age Steppers,New Age Steppers,female,uk reggae
Sixpence None the Richer,Sixpence None The Richer,female,"neo mellow, pop rock"
Portishead,Portishead,female,"art pop, electronica, laboratorio, trip hop"
Nina Simone,Nina Simone,female,"adult standards, jazz blues, soul, soul jazz, torch song, vocal jazz"
Cibo Matto,Cibo Matto,female,"shibuya-kei, trip hop"
singer,The Fisk Jubilee Singers,female,"vintage gospel, vocal harmony group"
Riki Michele,Riki Michele,female,deep christian rock
Carly Simon,Carly Simon,female,"adult standards, country rock, folk, folk rock, mellow gold, soft rock"
Florence Welch,Florence Welch,female,uk pop
Sook-Yin Lee,Sook-Yin Lee,female,canadian soundtrack
Flyleaf,Flyleaf,female,"alternative metal, christian alternative rock, christian rock, nu metal, pop emo, post-grunge"
The Long Blondes,The Long Blondes,female,"new rave, sheffield indie"
Sarah Cracknell,Sarah Cracknell,female,chamber psych
The Dresden Dolls,The Dresden Dolls,female,"anti-folk, boston rock, dark cabaret, piano rock, steampunk"
The Smashing Pumpkins,The Smashing Pumpkins,female,"alternative metal, alternative rock, grunge, modern rock, nu metal, permanent wave, pop rock, post-grunge, rock"
Melissa Etheridge,Melissa Etheridge,female,"folk, heartland rock, lilith, mellow gold, pop rock"
Anastacia,Anastacia,female,"dance pop, europop"
The Gathering,The Gathering,female,"atmospheric doom, dutch metal, gothic metal, gothic symphonic metal, symphonic metal"
The Ting Tings,The Ting Tings,female,"alternative dance, dance pop, dance-punk, electropop, new rave"
Anouk,Anouk,female,"dutch indie, dutch pop, dutch rock, nederpop"
Hail,Hailee Steinfeld,female,"dance pop, pop, post-teen pop"
Blondie,Blondie,female,"candy pop, dance rock, new romantic, new wave, new wave pop, permanent wave, power pop, rock"
Preslava,Preslava,female,"bulgarian pop, chalga, macedonian folk"
Thee Headcoatees,Thee Headcoatees,female,"garage rock, medway sound, punk blues, trash rock"
Siouxsie and the Banshees,Siouxsie and the Banshees,female,"alternative rock, dance rock, dream pop, gothic rock, new romantic, new wave, new wave pop, post-punk, punk, uk post-punk"
Nena,Nena,female,"german pop, german rock, new wave pop"
Dana Fuchs,Dana Fuchs,female,hollywood
Alannah Myles,Alannah Myles,female,"classic canadian rock, new wave pop"
The Sundays,The Sundays,female,"alternative pop, alternative rock, britpop, dream pop, lilith, new wave pop, pop rock"
Nancy Wilson,Nancy Wilson,female,"adult standards, bebop, cool jazz, jazz, lounge, soul, vocal jazz"
Nikka Costa,Nikka Costa,female,neo soul
Annie Lennox,Annie Lennox,female,"europop, folk, lilith, mellow gold, new wave pop, pop rock, soft rock"
4 Non Blondes,4 Non Blondes,female,"new wave pop, pop rock"
My Bloody Valentine,My Bloody Valentine,female,"alternative rock, art pop, dream pop, experimental rock, indie pop, indie rock, lo-fi, noise pop, noise rock, nu gaze, shoegaze, slow core"
The B-52's,The B-52's,female,"art rock, dance rock, new romantic, new wave, new wave pop, permanent wave, post-punk, rock, zolo"
Cherry Vanilla,Cherry Vanilla,female,"deep punk rock, glam rock"
Horse,Band of Horses,female,"chamber pop, indie folk, indie pop, indie rock, modern rock, stomp and holler"
The Donnas,The Donnas,female,"candy pop, garage rock, glam punk, power-pop punk"
Shannon Wright,Shannon Wright,female,melancholia
Giant Drag,Giant Drag,female,la indie
Sara Lov,Sara Lov,female,etherpop
Little Eva,Little Eva,female,"brill building pop, doo-wop, rhythm and blues, rock-and-roll"
Shiny Toy Guns,Shiny Toy Guns,female,"alternative dance, dance-punk, electronic rock, electropop"
Ruth Lorenzo,Ruth Lorenzo,female,"eurovision, talent show"
Nico,Nicole Scherzinger,female,"dance pop, electropop, europop, pop, pop rap, post-teen pop"
Essential Logic,Essential Logic,female,"experimental rock, no wave, post-punk, uk post-punk, zolo"
The Shondes,The Shondes,female,"queercore, riot grrrl"
A Fine Frenzy,A Fine Frenzy,female,"acoustic pop, lilith, neo mellow"
Donna Summer,Donna Summer,female,"dance pop, disco, hi-nrg, motown, new wave pop"
Carrie Underwood,Carrie Underwood,female,"contemporary country, country, country dawn, country road, dance pop, oklahoma country, pop, post-teen pop"
Edie Brickell & New Bohemians,Edie Brickell & New Bohemians,female,"folk, lilith, new wave pop, pop rock"
Serena Ryder,Serena Ryder,female,"canadian indie, canadian pop, canadian singer-songwriter, lilith, ontario indie, pop quebecois"
Beth Ditto,Beth Ditto,female,electropop
Sara Bareilles,Sara Bareilles,female,"acoustic pop, lilith, neo mellow, pop, pop rock, post-teen pop"
Julie Doiron,Julie Doiron,female,"canadian singer-songwriter, freak folk, new brunswick indie, slow core"
Lycia,Lycia,female,"dark post-punk, dark wave, ethereal wave, gothic rock, medieval folk, neoclassical"
Red Krayola,The Red Krayola,female,"experimental, experimental rock, no wave, outsider, post-punk"
Howling Bells,Howling Bells,female,gothic americana
Bikini Kill,Bikini Kill,female,"indie punk, olympia wa indie, punk, riot grrrl"
Tegan and Sara,Tegan and Sara,female,"canadian indie, dance pop, indie pop, indie poptimism, indietronica, lilith, metropopolis, permanent wave, pop rock"
Avril Lavigne,Avril Lavigne,female,"canadian pop, candy pop, dance pop, pop, post-teen pop"
Slant 6,Slant 6,female,"dc hardcore, riot grrrl"
Shonen Knife,Shonen Knife,female,"j-punk, japanese garage rock, japanese girl punk, japanese pop punk, japanese punk rock"
Tasmin Archer,Tasmin Archer,female,new wave pop
Skye Sweetnam,Skye Sweetnam,female,post-teen pop
Teenage Jesus and the Jerks,Teenage Jesus & The Jerks,female,"experimental rock, no wave, post-punk"
Freezepop,Freezepop,female,"bitpop, electroclash, neo-synthpop"
Patti Rothberg,Patti Rothberg,female,lilith
Grace Potter and the Nocturnals,Grace Potter & The Nocturnals,female,modern blues rock
Sinéad O'Connor,Sinéad O'Connor,female,"folk, lilith, new wave pop, pop rock"
The Sounds,The Relaxing Sounds of Swedish Nature,female,"environmental, sleep"
Cowboy Racer,Cowboy Racer,female,deep acoustic pop
Lois Maffeo,Lois Maffeo and Brendan Canty,female,olympia wa indie
Jane Wiedlin,Jane Wiedlin,female,"candy pop, new wave pop"
Indigo Girls,Indigo Girls,female,"folk, lilith, pop rock"
Die Happy,Die Happy,female,"german alternative rock, german rock"
The Breeders,The Breeders,female,"alternative pop, alternative rock, boston rock, dance rock, dayton indie, dream pop, garage rock, indie rock, lo-fi, noise pop, post-punk"
Björk,Björk,female,"alternative dance, art pop, electronica, electropop, experimental pop, experimental vocal, icelandic experimental, icelandic pop, metropopolis, permanent wave, trip hop"
45 Grave,45 Grave,female,"dark wave, deathrock, gothic rock, horror punk"
Gwen Stefani,Gwen Stefani,female,"dance pop, europop, hip pop, pop, pop rock, post-teen pop, urban contemporary"
Agnieszka Chylińska,Agnieszka Chylinska,female,polish pop
Theaudience,Theaudience,female,"britpop, candy pop"
Juliet Simms,Juliet Simms,female,deep talent show
The Tubes,The Tubes,female,"album rock, art rock, classic rock, dance rock, mellow gold, new wave pop, power pop, soft rock, zolo"
Juliette Lewis,Juliette & The Licks,female,power-pop punk
The Raincoats,The Raincoats,female,"alternative rock, art punk, art rock, dance rock, dance-punk, experimental, experimental rock, lo-fi, no wave, post-punk, riot grrrl, twee pop, uk post-punk"
Scandal,SCANDAL,female,"anime, idol rock, j-poprock"
The Superjesus,The Superjesus,female,"australian alternative rock, australian rock"
Guano Apes,Guano Apes,female,"alternative metal, funk metal, funk rock, german alternative rock, german rock, nu metal, post-grunge"
Infidels,Thee Infidels,female,crack rock steady
Stacey Q,Stacey Q,female,"freestyle, hi-nrg"
Edyta Bartosiewicz,Edyta Bartosiewicz,female,"classic polish pop, polish pop, polish rock"
Aylin Aslim,Aylin Aslım,female,"turkish pop, turkish rock"
The Selecter,The Selecter,female,"rock steady, ska, ska punk, ska revival"
Flor,Florida Georgia Line,female,"contemporary country, country, country pop, country road, modern country rock"
The Gun Club,The Gun Club,female,"alternative rock, cowpunk, dance rock, experimental, experimental rock, garage rock, industrial rock, no wave, noise pop, post-punk, psychedelic rock, psychobilly, punk, punk blues"
Fiona Apple,Fiona Apple,female,"art pop, chamber pop, indie pop, lilith, permanent wave, piano rock, pop rock, singer-songwriter"
Poe,Stephanie Poetri,female,indonesian pop
Mary Lu Zahalan,Mary-Lu Zahalan,female,deep soft rock
Lorde,Lorde,female,"art pop, dance pop, electropop, metropopolis, nz pop, pop, post-teen pop"
Original Sinners,Original Sinners,female,cowpunk
Cassidy,Eva Cassidy,female,"adult standards, folk, lilith, neo mellow, vocal jazz"
Porcelain Black,Porcelain Black,female,electropop
Slowdive,Slowdive,female,"alternative rock, art pop, dream pop, indie rock, noise pop, nu gaze, post-rock, reading indie, shoegaze, slow core"
Dorothy,Dorothy,female,"modern alternative rock, modern blues rock, modern hard rock, modern rock"
Melanie C,Melanie C,female,"bubblegum dance, dance pop, electropop, europop, new wave pop"
Lee Aaron,Aaron Lee Tasjan,female,"alternative country, deep new americana, indie folk, nashville americana, new americana"
Olivia Newton-John,Olivia Newton-John,female,"adult standards, australian dance, bubblegum pop, disco, mellow gold, new wave pop, soft rock"
The Roches,The Roches,female,"folk, traditional folk"
Frazey Ford,Frazey Ford,female,"canadian singer-songwriter, folk, indie folk, new americana"
The Jealous Girlfriends,The Jealous Girlfriends,female,"brooklyn indie, deep acoustic pop"
The Plastic Ono Band,The Plastic Ono Band,female,experimental rock
Laura Stoica,Laura Stoica,female,"romanian pop, romanian rock"
Lisa Loeb,Lisa Loeb,female,"lilith, new wave pop, pop rock, singer-songwriter"
Honey Bane,Honey Bane,female,anarcho-punk
Darlene Love,Darlene Love,female,"adult standards, brill building pop, motown"
"10,000 Maniacs","10,000 Maniacs",female,"folk, lilith, new wave pop, pop rock"
Mindless Self Indulgence,Mindless Self Indulgence,female,"comic, dance-punk, industrial metal, industrial rock, nu metal"
Veruca Salt,Veruca Salt,female,"alternative pop, alternative rock, grunge, lilith, post-grunge"
Susanna Hoffs,Susanna Hoffs,female,"lilith, new wave pop"
Tarja Turunen,Tarja,female,"gothic metal, gothic symphonic metal, symphonic metal"
Rilo Kiley,Rilo Kiley,female,"anti-folk, chamber pop, indie folk, indie pop, indie rock, la indie, lilith"
Les Rita Mitsouko,Les Rita Mitsouko,female,"chanson, french rock"
Lacuna Coil,Lacuna Coil,female,"alternative metal, gothic metal, italian gothic, italian gothic metal, italian metal, slayer, symphonic metal"
The Reputation,The Reputations,female,mod revival
Dot Allison,Dot Allison,female,trip hop
Juliette and the Licks,Juliette & The Licks,female,power-pop punk
Lulu,Lulu,female,"brill building pop, british invasion, bubblegum pop, classic uk pop, merseybeat, rock-and-roll"
Switchblade Symphony,Switchblade Symphony,female,"dark wave, ethereal wave, gothic rock, neoclassical, steampunk"
Do As Infinity,Do As Infinity,female,"anime, j-idol, j-pop, j-poprock"
The Distillers,The Distillers,female,"garage rock, punk, skate punk"
Martha and the Muffins,Martha and the Muffins,female,"classic canadian rock, dance rock, new wave, new wave pop"
Sheryl Crow,Sheryl Crow,female,"folk, lilith, mellow gold, neo mellow, new wave pop, permanent wave, pop rock, rock"
Cyndi Lauper,Cyndi Lauper,female,"dance pop, dance rock, europop, mellow gold, new wave pop, permanent wave, pop, pop rock, soft rock"
Scissor Sisters,Scissor Sisters,female,"dance pop, electropop, europop, pop rock"
Fleetwood Mac,Fleetwood Mac,female,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock"
Goodbye Mr Mackenzie,Goodbye Mr MacKenzie,female,"new wave pop, scottish new wave"
The Sugarcubes,The Sugarcubes,female,"alternative pop, alternative rock, art pop, dance rock, dream pop, icelandic pop, new wave, new wave pop"
Dolores O'Riordan,Dolores O'Riordan,female,limerick indie
Catatonia,Catatonia,female,"britpop, candy pop, welsh indie, welsh rock"
The Corrs,The Corrs,female,"bow pop, celtic rock, dance pop, europop, neo mellow, new wave pop, pop rock"
Annie Haslam,Annie Haslam,female,"art rock, progressive rock, symphonic rock"
Taylor Dayne,Taylor Dayne,female,"freestyle, hi-nrg, mellow gold, new wave pop, soft rock"
Mary Timony,Mary Timony,female,"alternative pop, boston rock, riot grrrl"
Jane Siberry,Jane Siberry,female,"canadian indie, ectofolk, folk, lilith, melancholia, new wave pop"
Pamela Spence,Pamela Spence,female,turkish rock
Bananarama,Bananarama,female,"dance pop, dance rock, disco, europop, girl group, hi-nrg, new romantic, new wave, new wave pop, soft rock"
Rasputina,Rasputina,female,"bow pop, cello, dark cabaret, steampunk"
Bis,Petit Biscuit,female,"new french touch, tropical house"
The Cardigans,The Cardigans,female,"dance pop, lilith, new wave pop, permanent wave, pop rock, swedish pop"
Melissa Auf der Maur,Melissa Auf der Maur,female,rock quebecois
Cat Power,Cat Power,female,"anti-folk, art pop, chamber pop, dream pop, freak folk, indie pop, indie rock, melancholia, singer-songwriter, slow core"
LaFee,LaFee,female,german pop
Taylor Swift,Taylor Swift,female,"dance pop, pop, post-teen pop"
L7,L7,female,"alternative rock, grunge, punk, riot grrrl, rock"
Ash,Ashe,female,"indie pop, pop"
Julia Volkova,Julia Volkova,female,russian pop
Weekend,Vampire Weekend,female,"baroque pop, indie pop, indie rock, modern rock, rock"
Maow,Maow,female,vancouver indie
Plasmatics,Plasmatics,female,punk
Curved Air,Curved Air,female,"art rock, canterbury scene, jazz fusion, progressive rock, symphonic rock, zolo"
Rose Kemp,Rose Kemp,female,uk doom metal
The Fabulettes,The Fabulettes,female,classic girl group
Headpins,Headpins,female,classic canadian rock
Mazzy Star,Mazzy Star,female,"alternative rock, art pop, dream pop, melancholia, slow core"
Kathryn Calder,Kathryn Calder,female,"canadian indie, vancouver indie, victoria bc indie"
Phoebe Bridgers,Phoebe Bridgers,female,"art pop, chamber pop, indie folk, indie pop, indie rock"
Tracey Thorn,Tracey Thorn,female,"british soul, new wave pop"
Against Me!,Against Me!,female,"folk punk, gainesville indie, orgcore, punk, skate punk"
Zolof the Rock & Roll Destroyer,Zolof the Rock & Roll Destroyer,female,philly indie
Eurythmics,Eurythmics,female,"dance pop, dance rock, disco, europop, mellow gold, new romantic, new wave, new wave pop, rock, soft rock, synthpop"
Tori Amos,Tori Amos,female,"art pop, ectofolk, folk, lilith, melancholia, new wave pop, permanent wave, piano rock, pop rock, singer-songwriter"
Lou Doillon,Lou Doillon,female,french indie pop
Melanie Doane,Melanie Doane,female,lilith
Orianthi,Orianthi,female,candy pop
All About Eve,All About Eve,female,"dark wave, gothic rock"
The Associates,The Associates,female,"dance rock, new romantic, new wave, new wave pop, post-punk, scottish new wave, synthpop, uk post-punk"
Stevie Nicks,Stevie Nicks,female,"album rock, heartland rock, mellow gold, rock, soft rock"
Joan Armatrading,Joan Armatrading,female,"folk, folk rock, lilith, mellow gold, new wave pop, singer-songwriter, traditional folk"
Régine Chassagne,Regine Chassagne,female,laboratorio
Patti Labelle,Patti LaBelle,female,"disco, funk, motown, neo soul, new jack swing, philly soul, quiet storm, r&b, soul, urban contemporary"
Julie Driscoll,Julie Driscoll,female,jazz rock
Meredith Brooks,Meredith Brooks,female,"lilith, pop rock"
Garbage,Garbage,female,"alternative dance, alternative rock, dance pop, electronic rock, lilith, new wave pop, permanent wave, pop rock, post-grunge, rock"
Elizabeth Fraser,Elizabeth Fraser,female,"ethereal wave, scottish indie"
Ronnie Spector,Ronnie Spector,female,brill building pop
Jennifer Knapp,Jennifer Knapp,female,"christian alternative rock, christian music, worship"
Os Mutantes,Os Mutantes,female,"bossa nova, brazilian indie, brazilian psychedelic, brazilian rock, mpb, psychedelic rock, rock gaucho"
The Shocker,Silkk The Shocker,female,"dirty south rap, gangster rap, new orleans rap, pop rap, southern hip hop, trap, wrestling"
Divinyls,Divinyls,female,"australian alternative rock, australian rock, dance rock, new wave pop"
Barbara Manning,Barbara Manning,female,alternative pop
Maria Brink,Maria Brink,female,slayer
Skillet,Skillet,female,"alternative metal, christian alternative rock, christian music, christian rock, post-grunge"
Marie Fredriksson,Marie Fredriksson,female,"classic swedish pop, swedish jazz, swedish pop"
VersaEmerge,VersaEmerge,female,"candy pop, neon pop punk, pixie, pop emo"
Free Kitten,Free Kitten,female,"no wave, riot grrrl"
Molly Johnson,Molly Johnson,female,"adult standards, contemporary vocal jazz, neo soul, vocal jazz"
Anita Lane,Anita Lane,female,australian singer-songwriter
TAT,Tate McRae,female,"pop, post-teen pop"
Thompson Twins,Thompson Twins,female,"dance rock, mellow gold, new romantic, new wave, new wave pop, soft rock, synthpop"
Kay Hanley,Kay Hanley,female,"alternative pop, boston rock, candy pop, lilith"
Hope Sandoval,Hope Sandoval and the Warm Inventions,female,"art pop, dream pop, freak folk, melancholia, slow core"
Stars in Stereo,Stars In Stereo,female,"gothic alternative, pop emo"
Wanda Jackson,Wanda Jackson,female,"nashville sound, oklahoma country, rock-and-roll, rockabilly"
Aretha Franklin,Aretha Franklin,female,"adult standards, classic soul, jazz blues, memphis soul, soul, southern soul"
Be Your Own Pet,be your own PET,female,nashville indie
Bilinda Butcher,The Bilinda Butchers,female,"chillwave, indie dream pop, japanese shoegaze, nu gaze"
Suzanne Vega,Suzanne Vega,female,"folk, lilith, new wave pop, permanent wave, pop rock, singer-songwriter"
Kenickie,Kenickie,female,"britpop, candy pop, north east england indie"
The Nymphs,The Nymphs,female,grunge
Sleigh Bells,Sleigh Bells,female,"alternative dance, art pop, brooklyn indie, chillwave, dance-punk, electropop, escape room, experimental pop, indie pop, indie rock, indie surf, indietronica, modern rock, new rave, noise pop"
Joan Baez,Joan Baez,female,"american folk revival, folk, folk rock, singer-songwriter, traditional folk"
Ani DiFranco,Ani DiFranco,female,"anti-folk, buffalo ny indie, ectofolk, folk, lilith, pop rock, singer-songwriter"
Marta Jandova,Marta Jandová,female,eurovision
Luna,Lunay,female,"latin, reggaeton, reggaeton flow"
Sparklehorse,Sparklehorse,female,"alternative rock, dream pop, freak folk, indie rock, lo-fi, melancholia, noise pop, slow core"
Vixen,Vixen,female,glam metal
Patty Smyth,Patty Smyth,female,new wave pop
Suzi Quatro,Suzi Quatro,female,glam rock
Shery,Sheryl Crow,female,"folk, lilith, mellow gold, neo mellow, new wave pop, permanent wave, pop rock, rock"
Missing Persons,Missing Persons,female,"album rock, dance rock, new romantic, new wave, new wave pop, synthpop"
Something for Kate,Something For Kate,female,"australian alternative rock, australian indie, australian rock"
Scarling.,Scarling.,female,"noise pop, noise rock, nu gaze, steampunk"
Hole,Hole,female,"alternative rock, grunge, lilith, pop rock, post-grunge, rock"
Dolly Parton,Dolly Parton,female,"classic country pop, country, country dawn"
Bow Wow Wow,Bow Wow,female,"dance pop, hip hop, hip pop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary"
Texas Terri,Texas Terri,female,glam punk
Amy Ray,Amy Ray,female,"ectofolk, folk, lilith"
Neko Case,Neko Case,female,"alternative country, anti-folk, art pop, canadian indie, canadian singer-songwriter, chamber pop, folk, indie folk, indie pop, indie rock, lilith, new americana, outlaw country, pop rock, roots rock, singer-songwriter, slow core, stomp and holler, traditional folk"
Big Brother and the Holding Company,Big Brother & The Holding Company,female,"blues rock, classic rock, folk rock, psychedelic rock, rock"
Aterciopelados,Aterciopelados,female,"colombian rock, cumbia, latin, latin alternative, latin pop, latin rock, rock en espanol"
Kristin Hersh,Kristin Hersh,female,"alternative pop, boston rock, lilith, melancholia, rhode island indie"
Bonnie Raitt,Bonnie Raitt,female,"classic rock, country rock, electric blues, folk, folk rock, lilith, mellow gold, pop rock, rock, roots rock, singer-songwriter, soft rock"
Laura Nyro,Laura Nyro,female,"brill building pop, folk, folk rock, singer-songwriter, traditional folk"
Damone,Vic Damone,female,"adult standards, big band, brill building pop, easy listening, lounge, swing, vocal jazz"
Nancy Sinatra,Nancy Sinatra,female,"adult standards, brill building pop, folk rock, lounge, vocal jazz"
Sass Jordan,Sass Jordan,female,classic canadian rock
Eva O,Original Broadway Cast of Dear Evan Hansen,female,broadway
Partyline,Partyline,female,riot grrrl
Marianne Faithfull,Marianne Faithfull,female,"british invasion, folk, folk rock"
Starship,Starship,female,"album rock, dance rock, mellow gold, new romantic, new wave, new wave pop, soft rock"
The Go-Go's,Ski Mask The Slump God,female,"miami hip hop, rap, trap, underground hip hop, vapor trap"
Broken Social Scene,Broken Social Scene,female,"alternative dance, alternative rock, baroque pop, canadian indie, canadian rock, chamber pop, chillwave, dance-punk, dream pop, experimental pop, freak folk, indie folk, indie pop, indie rock, modern rock, noise pop, nu gaze, post-rock, slow core, stomp and holler"
Mika Nakashima,Mika Nakashima,female,"j-idol, j-pop"
Holly Golightly,Holly Golightly,female,"garage rock, kent indie, medway sound, punk blues"
PVRIS,PVRIS,female,"electropop, modern alternative rock, modern rock, pixie, pop, pop emo, pop punk"
Joan Osborne,Joan Osborne,female,"folk, lilith, new wave pop, pop rock, singer-songwriter"
Ruth Brown,Ruth Brown,female,"jazz blues, jump blues, rhythm and blues, rock-and-roll, soul, southern soul"
Holly Miranda,Holly Miranda,female,la indie
Yazoo,Yazoo,female,"dance rock, new romantic, new wave, new wave pop, synthpop"
Excuse 17,Excuse 17,female,"olympia wa indie, queercore, riot grrrl"
Ash Koley,Ash Koley,female,canadian pop
Aimee Mann,Aimee Mann,female,"chamber pop, folk, indie pop, lilith, new wave pop, permanent wave, pop rock"
Tiffany,Tiffany,female,"new wave pop, soft rock"
La Quinta Estación,La Quinta Estacion,female,"latin, latin arena pop, latin pop, pop, rock en espanol, spanish pop, spanish pop rock"
Natalie Merchant,Natalie Merchant,female,"folk, lilith, mellow gold, new wave pop, pop rock, singer-songwriter"
Marina and the Diamonds,MARINA,female,"dance pop, electropop, indie pop, metropopolis, pop, post-teen pop, uk alternative pop"
Blonde Redhead,Blonde Redhead,female,"art pop, dance-punk, dream pop, indie rock, shoegaze"
Azure Ray,Azure Ray,female,"dream pop, indie pop, omaha indie"
Skin,Skinshape,female,indie soul
Angelica,Angelica Vila,female,nyc pop
Lena Katina,Lena Katina,female,russian pop
Sarah Bettens,Sarah Bettens,female,belgian pop
Nina Gordon,Nina Gordon,female,"candy pop, lilith"
Beth Hart,Beth Hart,female,"blues rock, dutch pop, modern blues"
Fifth Column,Fifth Column,female,"queercore, riot grrrl"
Norah Jones,Norah Jones,female,"adult standards, contemporary vocal jazz, neo mellow, vocal jazz"
Judie Tzuke,Judie Tzuke,female,classic uk pop
We Are the Fallen,We Are The Fallen,female,"gothic metal, gothic symphonic metal, pixie, symphonic metal"
