,artist,gender,category,retrieved,genre
5683,Leslie Satcher,female,American_female_country_singers,Leslie Satcher,"['country dawn', 'deep contemporary country']"
5684,Leslie Stuart,male,English_male_composers,Leslie Stuart,['operetta']
5685,Leslie Uggams,female,African-American_female_singers,Leslie Uggams,['northern soul']
5686,Leslie West,male,American_male_guitarists,Leslie West,"['blues rock', 'electric blues', 'modern blues']"
5687,Lester Davenport,male,American_male_singers,Lester Davenport,['chicago blues']
5688,Lester Flatt,male,American_country_singers,Lester Flatt,"['appalachian folk', 'bluegrass', 'bluegrass gospel', 'instrumental bluegrass', 'old-time', 'progressive bluegrass', 'traditional country', 'traditional folk']"
5689,Lester Quitzau,male,Male_guitarists,Lester Quitzau,['canadian blues']
5690,Lester Williams,male,American_male_guitarists,Lester Williams,"['belgian edm', 'deep big room']"
5691,Levi Stubbs,male,American_male_singers,Levi Stubbs,['hollywood']
5692,Levon Helm,male,American_country_singers,Levon Helm,"['alternative country', 'blues rock', 'country rock', 'folk', 'folk rock', 'jam band', 'new americana', 'rock drums', 'roots rock', 'traditional folk']"
5693,Levon Ichkhanian,male,Male_guitarists,Levon Ichkhanian,['armenian folk']
5696,Lewis James,male,American_male_singers,Lewis James,['deep dubstep']
5697,Lewis Watson,male,English_male_singers,Lewis Watson,"['indie anthem-folk', 'indie folk', 'neo mellow', 'oxford indie']"
5698,Leyla McCalla,female,American_female_singers,Leyla McCalla,"['alternative americana', 'new orleans americana']"
5700,Liam Clancy,male,Male_guitarists,Liam Clancy,"['celtic', 'irish country', 'irish folk']"
5701,Liam Finn,male,Male_songwriters,Liam Finn,['nz singer-songwriter']
5702,Liam Gallagher,male,English_male_singers,Liam Gallagher,"['britpop', 'modern rock', 'rock']"
5703,Liam Payne,male,English_male_singers,Liam Payne,"['dance pop', 'pop', 'post-teen pop', 'tropical house']"
5704,Liane Foly,female,French_female_singers,Liane Foly,"['chanson', 'french pop']"
5705,Lianna Klassen,female,Canadian_female_singers,Lianna Klassen,['canadian ccm']
5706,Lianne La Havas,female,English_female_singers,Lianne La Havas,"['british soul', 'indie r&b', 'indie soul', 'neo soul', 'soul']"
5707,Libbie Schrader,female,American_female_singer-songwriters,Libbie Schrader,['indie singer-songwriter']
5708,Libby Holman,female,American_female_pop_singers,Libby Holman,"['torch song', 'vintage swing']"
